type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Misleading_Click,image3.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 180, ""y"": 200}}","{""answer_type"": ""single_point"", ""point"": {""x"": 180, ""y"": 200}}","{""avoid_area"": {""x"": 180, ""y"": 0, ""width"": 210, ""height"": 330}, ""image_size"": [622, 806]}",GT 坐标缺失，无法分析。,,842,23
Misleading_Click,image4.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 150, ""y"": 150}}","{""answer_type"": ""single_point"", ""point"": {""x"": 150, ""y"": 150}}","{""avoid_area"": {""x"": 140, ""y"": 80, ""width"": 235, ""height"": 350}, ""image_size"": [696, 704]}",GT 坐标缺失，无法分析。,,842,23
Misleading_Click,image6.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 120, ""y"": 150}}","{""answer_type"": ""single_point"", ""point"": {""x"": 120, ""y"": 150}}","{""avoid_area"": {""x"": 120, ""y"": 0, ""width"": 260, ""height"": 500}, ""image_size"": [698, 708]}",GT 坐标缺失，无法分析。,,842,23
Misleading_Click,image1.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 150, ""y"": 150}}","{""answer_type"": ""single_point"", ""point"": {""x"": 150, ""y"": 150}}","{""avoid_area"": {""x"": 130, ""y"": 120, ""width"": 240, ""height"": 300}, ""image_size"": [1024, 1024]}",GT 坐标缺失，无法分析。,,842,23
Unusual_Detection,unusual6.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""indices_gt"": [0, 2, 3, 4, 5]}","缺失 4 个目标: [2, 3, 4, 5]；多选 1 个: [1]",,925,17
Unusual_Detection,unusual10.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 2]}","{""answer_type"": ""multi_select"", ""indices"": [0, 2]}","{""indices_gt"": [2, 3]}",缺失 1 个目标: [3]；多选 1 个: [0],,925,17
Unusual_Detection,unusual3.png,"{""answer_type"": ""multi_select"", ""indices"": [4]}","{""answer_type"": ""multi_select"", ""indices"": [4]}","{""indices_gt"": [3]}",缺失 1 个目标: [3]；多选 1 个: [4],,925,14
Unusual_Detection,unusual8.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 4]}","{""answer_type"": ""multi_select"", ""indices"": [0, 4]}","{""indices_gt"": [2]}","缺失 1 个目标: [2]；多选 2 个: [0, 4]",,925,17
Unusual_Detection,unusual9.png,"{""answer_type"": ""multi_select"", ""indices"": [0]}","{""answer_type"": ""multi_select"", ""indices"": [0]}","{""indices_gt"": [2]}",缺失 1 个目标: [2]；多选 1 个: [0],,925,14
Unusual_Detection,unusual1.png,"{""answer_type"": ""multi_select"", ""indices"": [1, 2, 4, 5]}","{""answer_type"": ""multi_select"", ""indices"": [1, 2, 4, 5]}","{""indices_gt"": [0, 3]}","缺失 2 个目标: [0, 3]；多选 4 个: [1, 2, 4, 5]",,925,23
Unusual_Detection,unusual4.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""indices_gt"": [0, 1, 2, 3, 4]}","缺失 3 个目标: [2, 3, 4]",,925,17
Patch_Select,image9.jpg,"{""answer_type"": ""multi_select"", ""indices"": [17, 18, 19]}","{""answer_type"": ""multi_select"", ""indices"": [17, 18, 19]}","{""grid_size"": [5, 5], ""correct_patches"": [16, 17, 18, 21, 22, 23]}","缺失 4 个正确索引: [16, 21, 22, 23]；多选 1 个错误索引: [19]",,987,20
Patch_Select,image8.jpg,"{""answer_type"": ""multi_select"", ""indices"": [15, 16, 20, 21]}","{""answer_type"": ""multi_select"", ""indices"": [15, 16, 20, 21]}","{""grid_size"": [5, 5], ""correct_patches"": [16, 17, 21, 22]}","缺失 2 个正确索引: [17, 22]；多选 2 个错误索引: [15, 20]",,988,23
Patch_Select,image4.jpg,"{""answer_type"": ""multi_select"", ""indices"": [6, 7, 8, 11, 12, 13, 17, 18]}","{""answer_type"": ""multi_select"", ""indices"": [6, 7, 8, 11, 12, 13, 17, 18]}","{""grid_size"": [5, 5], ""correct_patches"": [3, 6, 7, 8, 12, 13, 14, 18, 19]}","缺失 3 个正确索引: [3, 14, 19]；多选 2 个错误索引: [11, 17]",,567,35
Patch_Select,image7.jpg,"{""answer_type"": ""multi_select"", ""indices"": [11, 12, 16, 17]}","{""answer_type"": ""multi_select"", ""indices"": [11, 12, 16, 17]}","{""grid_size"": [5, 5], ""correct_patches"": [12, 13, 17]}","缺失 1 个正确索引: [13]；多选 2 个错误索引: [11, 16]",,987,23
Patch_Select,image1.jpg,"{""answer_type"": ""multi_select"", ""indices"": [1, 2, 3, 6, 7, 8, 11, 12, 13]}","{""answer_type"": ""multi_select"", ""indices"": [1, 2, 3, 6, 7, 8, 11, 12, 13]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13]}","缺失 2 个正确索引: [0, 5]",,987,38
Patch_Select,image6.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18]}","缺失 3 个正确索引: [4, 14, 18]；多选 2 个错误索引: [10, 17]",,573,56
Patch_Select,image10.jpg,"{""answer_type"": ""multi_select"", ""indices"": [17, 18, 22, 23]}","{""answer_type"": ""multi_select"", ""indices"": [17, 18, 22, 23]}","{""grid_size"": [5, 5], ""correct_patches"": [17, 18, 21, 22, 23]}",缺失 1 个正确索引: [21],,567,23
Patch_Select,image2.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 5, 6, 7, 10, 11, 12]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 5, 6, 7, 10, 11, 12]}","{""grid_size"": [5, 5], ""correct_patches"": [5, 6, 7, 10, 11, 12, 15, 16]}","缺失 2 个正确索引: [15, 16]；多选 3 个错误索引: [0, 1, 2]",,567,38
Patch_Select,image3.jpg,"{""answer_type"": ""multi_select"", ""indices"": [7, 8, 9, 12, 13, 14]}","{""answer_type"": ""multi_select"", ""indices"": [7, 8, 9, 12, 13, 14]}","{""grid_size"": [5, 5], ""correct_patches"": [7, 12, 17]}","缺失 1 个正确索引: [17]；多选 4 个错误索引: [8, 9, 13, 14]",,568,29
Dart_Count,dart_puzzle_3.json,"{""answer_type"": ""classify"", ""index"": 5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 1}",预测 index=5，GT=1，需检查模型在候选中选择的匹配项是否正确。,,8490,14
Dart_Count,dart_puzzle_10.json,"{""answer_type"": ""classify"", ""index"": 5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 7}",预测 index=5，GT=7，需检查模型在候选中选择的匹配项是否正确。,,8490,14
