type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Unusual_Detection,unusual4.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2]}","{""indices_gt"": [0, 1, 2, 3, 4]}","缺失 2 个目标: [3, 4]",,518,22
Unusual_Detection,unusual1.png,"{""answer_type"": ""multi_select"", ""indices"": [3]}","{""answer_type"": ""multi_select"", ""indices"": [3]}","{""indices_gt"": [0, 3]}",缺失 1 个目标: [0],,518,16
Unusual_Detection,unusual19.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 4]}","{""answer_type"": ""multi_select"", ""indices"": [0, 4]}","{""indices_gt"": [0, 3, 4]}",缺失 1 个目标: [3],,518,19
Unusual_Detection,unusual22.png,"{""answer_type"": ""multi_select"", ""indices"": [2]}","{""answer_type"": ""multi_select"", ""indices"": [2]}","{""indices_gt"": [0, 3, 4]}","缺失 3 个目标: [0, 3, 4]；多选 1 个: [2]",,518,16
Unusual_Detection,unusual8.png,"{""answer_type"": ""multi_select"", ""indices"": [5]}","{""answer_type"": ""multi_select"", ""indices"": [5]}","{""indices_gt"": [2]}",缺失 1 个目标: [2]；多选 1 个: [5],,518,16
Unusual_Detection,unusual18.png,"{""answer_type"": ""multi_select"", ""indices"": [0]}","{""answer_type"": ""multi_select"", ""indices"": [0]}","{""indices_gt"": [0, 2]}",缺失 1 个目标: [2],,518,16
Unusual_Detection,unusual6.png,"{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""indices_gt"": [0, 2, 3, 4, 5]}","缺失 4 个目标: [2, 3, 4, 5]；多选 1 个: [1]",,518,19
Unusual_Detection,unusual10.png,"{""answer_type"":""multi_select"",""indices"":[2,3,5]}","{""answer_type"": ""multi_select"", ""indices"": [2, 3, 5]}","{""indices_gt"": [2, 3]}",多选 1 个: [5],,518,17
Unusual_Detection,unusual30.png,"{""answer_type"": ""multi_select"", ""indices"": [3]}","{""answer_type"": ""multi_select"", ""indices"": [3]}","{""indices_gt"": [0, 2, 3]}","缺失 2 个目标: [0, 2]",,518,16
Image_Matching,ground_image20.png,"{""answer_type"": ""classify"", ""index"": 4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 2, ""num_options"": 5}",预测 index=4，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image14.png,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 2, ""num_options"": 5}",预测 index=0，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image12.png,"{""answer_type"": ""classify"", ""index"": 3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2, ""num_options"": 5}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image15.png,"{""answer_type"": ""classify"", ""index"": 2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 4, ""num_options"": 5}",预测 index=2，GT=4，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image5.png,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 4, ""num_options"": 5}",预测 index=0，GT=4，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image2.png,"{""answer_type"":""classify"",""index"":0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 1, ""num_options"": 5}",预测 index=0，GT=1，需检查模型在候选中选择的匹配项是否正确。,,1818,11
Image_Matching,ground_image1.png,"{""answer_type"": ""classify"", ""index"": 3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2, ""num_options"": 5}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Image_Matching,ground_image16.png,"{""answer_type"": ""classify"", ""index"": 1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 2, ""num_options"": 5}",预测 index=1，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1818,14
Rotation_Match,puzzle_polarbear_direction_2.json,"{""answer_type"": ""rotation"", ""angle"": 315}","{""answer_type"": ""rotation"", ""angle"": 315}","{""correct_angle"": 45.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 315}",,702,16
Rotation_Match,puzzle_hungry_cat_direction_4.json,"{""answer_type"": ""rotation"", ""angle"": 135}","{""answer_type"": ""rotation"", ""angle"": 135}","{""correct_angle"": 315.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 135}",,702,16
Rotation_Match,puzzle_hungry_cat_direction_7.json,"{""answer_type"": ""rotation"", ""angle"": 135}","{""answer_type"": ""rotation"", ""angle"": 135}","{""correct_angle"": 0.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 135}",,702,16
Rotation_Match,puzzle_polarbear_direction_8.json,"{""answer_type"": ""rotation"", ""angle"": 90}","{""answer_type"": ""rotation"", ""angle"": 90}","{""correct_angle"": 180.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 90}",,702,15
Rotation_Match,puzzle_sad_cat_direction_5.json,"{""answer_type"": ""rotation"", ""angle"": 0}","{""answer_type"": ""rotation"", ""angle"": 0}","{""correct_angle"": 225.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 0}",,702,14
Rotation_Match,puzzle_gold_direction_6.json,"{""answer_type"": ""rotation"", ""angle"": 90}","{""answer_type"": ""rotation"", ""angle"": 90}","{""correct_angle"": 135.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 90}",,702,15
Rotation_Match,puzzle_panda_direction_1.json,"{""answer_type"": ""rotation"", ""angle"": 180}","{""answer_type"": ""rotation"", ""angle"": 180}","{""correct_angle"": 90.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 180}",,702,16
Rotation_Match,puzzle_cat_direction_5.json,"{""answer_type"": ""rotation"", ""angle"": 180}","{""answer_type"": ""rotation"", ""angle"": 180}","{""correct_angle"": 225.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 180}",,702,16
Rotation_Match,puzzle_cat_direction_1.json,"{""answer_type"": ""rotation"", ""angle"": 345}","{""answer_type"": ""rotation"", ""angle"": 345}","{""correct_angle"": 90.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 345}",,702,16
Rotation_Match,puzzle_hungry_cat_direction_6.json,"{""answer_type"": ""rotation"", ""angle"": 270}","{""answer_type"": ""rotation"", ""angle"": 270}","{""correct_angle"": 135.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 270}",,702,16
Rotation_Match,puzzle_sad_cat_direction_2.json,"{""answer_type"": ""rotation"", ""angle"": 32}","{""answer_type"": ""rotation"", ""angle"": 32}","{""correct_angle"": 45.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 32}",,702,15
Rotation_Match,puzzle_polarbear_direction_6.json,"{""answer_type"": ""rotation"", ""angle"": 0}","{""answer_type"": ""rotation"", ""angle"": 0}","{""correct_angle"": 135.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 0}",,702,14
Rotation_Match,puzzle_polarbear_direction_1.json,"{""answer_type"": ""rotation"", ""angle"": 0}","{""answer_type"": ""rotation"", ""angle"": 0}","{""correct_angle"": 90.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 0}",,702,14
Rotation_Match,puzzle_cat_direction_6.json,"{""answer_type"": ""rotation"", ""angle"": 150}","{""answer_type"": ""rotation"", ""angle"": 150}","{""correct_angle"": 135.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {""answer_type"": ""rotation"", ""angle"": 150}",,702,16
Patch_Select,image4.jpg,"{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13, 14, 18, 19]}","{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13, 14, 18, 19]}","{""grid_size"": [5, 5], ""correct_patches"": [3, 6, 7, 8, 12, 13, 14, 18, 19]}","缺失 2 个正确索引: [3, 6]",,584,39
Patch_Select,image3.jpg,"{""answer_type"": ""multi_select"", ""indices"": [2, 7, 12, 17]}","{""answer_type"": ""multi_select"", ""indices"": [2, 7, 12, 17]}","{""grid_size"": [5, 5], ""correct_patches"": [7, 12, 17]}",多选 1 个错误索引: [2],,584,27
