type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Unusual_Detection,unusual6.png,"{
""answer_type"": ""multi_select"",
""indices"": [0, 1, 2, 3, 4, 5]
}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5]}","{""indices_gt"": [0, 2, 3, 4, 5]}",多选 1 个: [1],,1115,36
Object_Match,example9.png,"{
""answer_type"": ""classify"",
""index"": 3
}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 1}",预测 index=3，GT=1，需检查模型在候选中选择的匹配项是否正确。,,14982,20
Click_Order,image3.png,"{""answer_type"": ""click_order"", ""points"": [{""x"": 104, ""y"": 800}, {""x"": 104, ""y"": 100}, {""x"": 920, ""y"": 240}, {""x"": 104, ""y"": 320}]}","{""answer_type"": ""click_order"", ""points"": [{""x"": 104, ""y"": 800}, {""x"": 104, ""y"": 100}, {""x"": 920, ""y"": 240}, {""x"": 104, ""y"": 320}]}","{""points_gt"": [{""x"": 360.0, ""y"": 275.0}, {""x"": 73.0, ""y"": 56.0}, {""x"": 540.0, ""y"": 185.0}, {""x"": 80.0, ""y"": 320.0}], ""tolerance"": 40.0}","第 1 个点击距离目标 584.1px (> tolerance 40.0); 预测 (104,800) vs GT (360,275). 第 2 个点击距离目标 53.8px (> tolerance 40.0); 预测 (104,100) vs GT (73,56). 第 3 个点击距离目标 384.0px (> tolerance 40.0); 预测 (920,240) vs GT (540,185).",,355,83
Geometry_Click,vtt_000004.jpg,"{""answer_type"": ""single_point"", ""point"": {""x"": 108, ""y"": 270}}","{""answer_type"": ""single_point"", ""point"": {""x"": 108, ""y"": 270}}","{""bbox"": [170.0, 160.0, 225.0, 255.0], ""shape"": ""circle"", ""target_position"": {""x"": 197.5, ""y"": 207.5}, ""tolerance"": 47.5}","预测坐标 (108.0,270.0) 距离 GT (197.5,207.5) 为 109.2px，超过容差 47.5px，说明定位偏离目标区域。",,335,29
Bingo,bingo5.png,"{""answer_type"": ""swap"", ""pair"": [0, 7]}","{""answer_type"": ""swap"", ""pair"": [0, 7]}","{""swap_pairs"": [[4, 7], [0, 6]]}","任务类型 Bingo 未提供专用分析，请检查原始响应: {""answer_type"": ""swap"", ""pair"": [0, 7]}",,634,19
Place_Dot,path3.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 100, ""y"": 900}}","{""answer_type"": ""single_point"", ""point"": {""x"": 100, ""y"": 900}}","{""target_position"": {""x"": 305.0, ""y"": 520.0}, ""tolerance"": 20.0}","预测坐标 (100.0,900.0) 距离 GT (305.0,520.0) 为 431.8px，超过容差 20.0px，说明定位偏离目标区域。",,408,30
Rotation_Match,puzzle_hungry_cat_direction_3.json,"{
""answer_type"": ""rotation"",
""angle"": 45
}","{""answer_type"": ""rotation"", ""angle"": 45}","{""correct_angle"": 270.0, ""angle_tol_deg"": 5.0}","任务类型 Rotation_Match 未提供专用分析，请检查原始响应: {
""answer_type"": ""rotation"",
""angle"": 45
}",,1299,20
Dart_Count,dart_puzzle_6.json,"{
""answer_type"": ""classify"",
""index"": 0
}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 3}",预测 index=0，GT=3，需检查模型在候选中选择的匹配项是否正确。,,7899,20
Image_Matching,ground_image1.png,"{""answer_type"": ""classify"", ""index"": 3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2, ""num_options"": 5}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,6227,18
Dice_Count,dice7.png,"{""answer_type"": ""number"", ""value"": 39}","{""answer_type"": ""number"", ""value"": 39}","{""sum"": 44}",预测点数 39.0 低于 GT 44.0 (Δ=-5)，说明模型遗漏了一些顶面。,,1066,17
Patch_Select,image6.jpg,"{
""answer_type"": ""multi_select"",
""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]
}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18]}","多选 9 个错误索引: [10, 15, 17, 19, 20, 21, 22, 23]...",,273,106
