kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,gemini,gemini-2.5-flash,Image_Matching,ground_image17.png,1,6138.1,1,
summary,gemini,gemini-2.5-flash,Select_Animal,image14.png,1,4123.7,1,
summary,gemini,gemini-2.5-flash,Unusual_Detection,unusual3.png,1,15923.5,1,
summary,gemini,gemini-2.5-flash,Misleading_Click,image1.png,1,8506.3,1,
summary,gemini,gemini-2.5-flash,Place_Dot,,10,957399.2,0,
summary,gemini,gemini-2.5-flash,Click_Order,,10,30267.2,0,
summary,gemini,gemini-2.5-flash,Connect_Icon,puzzle2.json,2,4597.9,1,
summary,gemini,gemini-2.5-flash,Rotation_Match,puzzle_sad_cat_direction_7.json,1,3566.4,1,
summary,gemini,gemini-2.5-flash,Patch_Select,image3.jpg,3,9615.2,1,
summary,gemini,gemini-2.5-flash,Dice_Count,,10,51840.6,0,
summary,gemini,gemini-2.5-flash,Coordinates,coordinate_sample1.png,2,7849.7,1,
summary,gemini,gemini-2.5-flash,Geometry_Click,,10,37249.1,0,
summary,gemini,gemini-2.5-flash,Pick_Area,image5.png,2,22649.9,1,
summary,gemini,gemini-2.5-flash,Path_Finder,path5.JPG,1,3269.7,1,
summary,gemini,gemini-2.5-flash,Image_Recognition,images15,1,2139.9,1,
summary,gemini,gemini-2.5-flash,Bingo,bingo13.png,1,12906.7,1,
summary,gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_12.json,4,38105.7,1,
summary,gemini,gemini-2.5-flash,Object_Match,example13.png,3,24031.8,1,
