type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Place_Dot,path3.png,"{""answer_type"":""single_point"",""point"":{""x"":450,""y"":240}}","{""answer_type"": ""single_point"", ""point"": {""x"": 450, ""y"": 240}}","{""target_position"": {""x"": 305.0, ""y"": 520.0}, ""tolerance"": 20.0}","预测坐标 (450.0,240.0) 距离 GT (305.0,520.0) 为 315.3px，超过容差 20.0px，说明定位偏离目标区域。",,775,727
Place_Dot,path9.png,"{""answer_type"":""single_point"",""point"":{""x"":430,""y"":265}}","{""answer_type"": ""single_point"", ""point"": {""x"": 430, ""y"": 265}}","{""target_position"": {""x"": 420.0, ""y"": 370.0}, ""tolerance"": 20.0}","预测坐标 (430.0,265.0) 距离 GT (420.0,370.0) 为 105.5px，超过容差 20.0px，说明定位偏离目标区域。",,775,1175
Place_Dot,path4.png,"{""answer_type"":""single_point"",""point"":{""x"":420,""y"":210}}","{""answer_type"": ""single_point"", ""point"": {""x"": 420, ""y"": 210}}","{""target_position"": {""x"": 300.0, ""y"": 512.0}, ""tolerance"": 25.0}","预测坐标 (420.0,210.0) 距离 GT (300.0,512.0) 为 325.0px，超过容差 25.0px，说明定位偏离目标区域。",,775,599
Place_Dot,path6.png,"{""answer_type"":""single_point"",""point"":{""x"":545,""y"":360}}","{""answer_type"": ""single_point"", ""point"": {""x"": 545, ""y"": 360}}","{""target_position"": {""x"": 295.0, ""y"": 510.0}, ""tolerance"": 20.0}","预测坐标 (545.0,360.0) 距离 GT (295.0,510.0) 为 291.5px，超过容差 20.0px，说明定位偏离目标区域。",,775,1687
Place_Dot,path7.png,"{""answer_type"":""single_point"",""point"":{""x"":235,""y"":185}}","{""answer_type"": ""single_point"", ""point"": {""x"": 235, ""y"": 185}}","{""target_position"": {""x"": 515.0, ""y"": 360.0}, ""tolerance"": 20.0}","预测坐标 (235.0,185.0) 距离 GT (515.0,360.0) 为 330.2px，超过容差 20.0px，说明定位偏离目标区域。",,775,791
Place_Dot,path5.png,"{""answer_type"":""single_point"",""point"":{""x"":470,""y"":120}}","{""answer_type"": ""single_point"", ""point"": {""x"": 470, ""y"": 120}}","{""target_position"": {""x"": 265.0, ""y"": 510.0}, ""tolerance"": 20.0}","预测坐标 (470.0,120.0) 距离 GT (265.0,510.0) 为 440.6px，超过容差 20.0px，说明定位偏离目标区域。",,775,471
Place_Dot,path1.png,"{""answer_type"":""single_point"",""point"":{""x"":430,""y"":190}}","{""answer_type"": ""single_point"", ""point"": {""x"": 430, ""y"": 190}}","{""target_position"": {""x"": 190.0, ""y"": 210.0}, ""tolerance"": 25.0}","预测坐标 (430.0,190.0) 距离 GT (190.0,210.0) 为 240.8px，超过容差 25.0px，说明定位偏离目标区域。",,775,727
Place_Dot,path2.png,"{""answer_type"":""single_point"",""point"":{""x"":352,""y"":245}}","{""answer_type"": ""single_point"", ""point"": {""x"": 352, ""y"": 245}}","{""target_position"": {""x"": 265.0, ""y"": 445.0}, ""tolerance"": 15.0}","预测坐标 (352.0,245.0) 距离 GT (265.0,445.0) 为 218.1px，超过容差 15.0px，说明定位偏离目标区域。",,775,1687
Place_Dot,path8.png,"{""answer_type"":""single_point"",""point"":{""x"":535,""y"":335}}","{""answer_type"": ""single_point"", ""point"": {""x"": 535, ""y"": 335}}","{""target_position"": {""x"": 350.0, ""y"": 470.0}, ""tolerance"": 20.0}","预测坐标 (535.0,335.0) 距离 GT (350.0,470.0) 为 229.0px，超过容差 20.0px，说明定位偏离目标区域。",,775,919
Select_Animal,image6.png,"{""answer_type"":""multi_select"",""indices"":[6]}","{""answer_type"": ""multi_select"", ""indices"": [6]}","{""indices_gt"": [5]}",缺失 1 个目标: [5]；多选 1 个: [6],,743,401
Select_Animal,image8.png,"{""answer_type"":""multi_select"",""indices"":[5]}","{""answer_type"": ""multi_select"", ""indices"": [5]}","{""indices_gt"": [4]}",缺失 1 个目标: [4]；多选 1 个: [5],,743,273
Select_Animal,image7.png,"{""answer_type"":""multi_select"",""indices"":[1]}","{""answer_type"": ""multi_select"", ""indices"": [1]}","{""indices_gt"": [0]}",缺失 1 个目标: [0]；多选 1 个: [1],,743,337
Select_Animal,image9.png,"{""answer_type"":""multi_select"",""indices"":[5]}","{""answer_type"": ""multi_select"", ""indices"": [5]}","{""indices_gt"": [4]}",缺失 1 个目标: [4]；多选 1 个: [5],,744,273
Dart_Count,dart_puzzle_9.json,"{""answer_type"":""classify"",""index"":9}","{""answer_type"": ""classify"", ""index"": 9}","{""correct_index"": 6}",预测 index=9，GT=6，需检查模型在候选中选择的匹配项是否正确。,,8311,4241
Dart_Count,dart_puzzle_8.json,"{""answer_type"":""classify"",""index"":6}","{""answer_type"": ""classify"", ""index"": 6}","{""correct_index"": 5}",预测 index=6，GT=5，需检查模型在候选中选择的匹配项是否正确。,,8311,1937
Dart_Count,dart_puzzle_5.json,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,8311,977
Dart_Count,dart_puzzle_4.json,"{""answer_type"":""classify"",""index"":1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 0}",预测 index=1，GT=0，需检查模型在候选中选择的匹配项是否正确。,,8311,2385
Dart_Count,dart_puzzle_7.json,"{""answer_type"":""classify"",""index"":5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 4}",预测 index=5，GT=4，需检查模型在候选中选择的匹配项是否正确。,,7681,3601
Dart_Count,dart_puzzle_1.json,"{""answer_type"":""classify"",""index"":11}","{""answer_type"": ""classify"", ""index"": 11}","{""correct_index"": 10}",预测 index=11，GT=10，需检查模型在候选中选择的匹配项是否正确。,,8311,3729
Dart_Count,dart_puzzle_10.json,"{""answer_type"":""classify"",""index"":8}","{""answer_type"": ""classify"", ""index"": 8}","{""correct_index"": 7}",预测 index=8，GT=7，需检查模型在候选中选择的匹配项是否正确。,,8311,2257
Image_Matching,ground_image1.png,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2, ""num_options"": 5}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,3894,657
Image_Matching,ground_image10.png,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 4, ""num_options"": 6}",预测 index=3，GT=4，需检查模型在候选中选择的匹配项是否正确。,,4524,1169
Image_Matching,ground_image7.png,"{""answer_type"":""classify"",""index"":5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 4, ""num_options"": 5}",预测 index=5，GT=4，需检查模型在候选中选择的匹配项是否正确。,,3894,657
Image_Matching,ground_image4.png,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3, ""num_options"": 6}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,4524,593
Image_Matching,ground_image6.png,"{""answer_type"":""classify"",""index"":1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 0, ""num_options"": 5}",预测 index=1，GT=0，需检查模型在候选中选择的匹配项是否正确。,,3894,657
Image_Matching,ground_image5.png,"{""answer_type"":""classify"",""index"":5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 4, ""num_options"": 5}",预测 index=5，GT=4，需检查模型在候选中选择的匹配项是否正确。,,3894,465
Image_Matching,ground_image2.png,"{""answer_type"":""classify"",""index"":2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 1, ""num_options"": 5}",预测 index=2，GT=1，需检查模型在候选中选择的匹配项是否正确。,,3894,1041
Image_Matching,ground_image8.png,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3, ""num_options"": 5}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,3894,465
Image_Matching,ground_image9.png,"{""answer_type"":""classify"",""index"":1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 0, ""num_options"": 5}",预测 index=1，GT=0，需检查模型在候选中选择的匹配项是否正确。,,3894,401
Connect_Icon,puzzle10.json,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,1939,849
Connect_Icon,puzzle1.json,"{""answer_type"":""classify"",""index"":1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 0}",预测 index=1，GT=0，需检查模型在候选中选择的匹配项是否正确。,,1799,1233
Connect_Icon,puzzle7.json,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 0}",预测 index=4，GT=0，需检查模型在候选中选择的匹配项是否正确。,,2359,1745
Connect_Icon,puzzle4.json,"{""answer_type"":""classify"",""index"":0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 1}",预测 index=0，GT=1，需检查模型在候选中选择的匹配项是否正确。,,2359,1169
Connect_Icon,puzzle9.json,"{""answer_type"":""classify"",""index"":2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 1}",预测 index=2，GT=1，需检查模型在候选中选择的匹配项是否正确。,,1939,1041
Connect_Icon,puzzle3.json,"{""answer_type"":""classify"",""index"":5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 4}",预测 index=5，GT=4，需检查模型在候选中选择的匹配项是否正确。,,2779,977
Connect_Icon,puzzle6.json,"{""answer_type"":""classify"",""index"":6}","{""answer_type"": ""classify"", ""index"": 6}","{""correct_index"": 0}",预测 index=6，GT=0，需检查模型在候选中选择的匹配项是否正确。,,2359,4497
Connect_Icon,puzzle8.json,"{""answer_type"":""classify"",""index"":7}","{""answer_type"": ""classify"", ""index"": 7}","{""correct_index"": 6}",预测 index=7，GT=6，需检查模型在候选中选择的匹配项是否正确。,,1939,1105
Connect_Icon,puzzle5.json,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,2359,1233
Coordinates,coordinate_sample6.png,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,5151,1809
Coordinates,coordinate_sample5.png,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,5431,1489
Coordinates,coordinate_sample3.png,"{""answer_type"":""classify"",""index"":2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 1}",预测 index=2，GT=1，需检查模型在候选中选择的匹配项是否正确。,,3891,1809
Coordinates,coordinate_sample1.png,"{""answer_type"":""classify"",""index"":5}","{""answer_type"": ""classify"", ""index"": 5}","{""correct_index"": 4}",预测 index=5，GT=4，需检查模型在候选中选择的匹配项是否正确。,,4171,913
Coordinates,coordinate_sample2.png,"{""answer_type"":""classify"",""index"":4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,3891,1297
Coordinates,coordinate_sample9.png,"{""answer_type"":""classify"",""index"":2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 1}",预测 index=2，GT=1，需检查模型在候选中选择的匹配项是否正确。,,5431,657
Path_Finder,path9.JPG,"{""answer_type"":""multi_select"",""indices"":[3]}","{""answer_type"": ""multi_select"", ""indices"": [3]}","{""indices_gt"": []}",多选 1 个: [3],,754,1937
Path_Finder,path4.JPG,"{""answer_type"":""multi_select"",""indices"":[4]}","{""answer_type"": ""multi_select"", ""indices"": [4]}","{""indices_gt"": []}",多选 1 个: [4],,754,1681
Path_Finder,path7.JPG,"{""answer_type"":""multi_select"",""indices"":[1,3]}","{""answer_type"": ""multi_select"", ""indices"": [1, 3]}","{""indices_gt"": []}","多选 2 个: [1, 3]",,754,851
Path_Finder,path6.JPG,"{""answer_type"":""multi_select"",""indices"":[2]}","{""answer_type"": ""multi_select"", ""indices"": [2]}","{""indices_gt"": []}",多选 1 个: [2],,754,1169
Path_Finder,path10.JPG,"{""answer_type"":""multi_select"",""indices"":[0,2]}","{""answer_type"": ""multi_select"", ""indices"": [0, 2]}","{""indices_gt"": []}","多选 2 个: [0, 2]",,754,1875
Path_Finder,path5.JPG,"{""answer_type"":""multi_select"",""indices"":[1]}","{""answer_type"": ""multi_select"", ""indices"": [1]}","{""indices_gt"": []}",多选 1 个: [1],,754,1425
Path_Finder,path3.JPG,"{""answer_type"":""multi_select"",""indices"":[1,3]}","{""answer_type"": ""multi_select"", ""indices"": [1, 3]}","{""indices_gt"": []}","多选 2 个: [1, 3]",,754,1107
Path_Finder,path8.JPG,"{""answer_type"":""multi_select"",""indices"":[0,1]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1]}","{""indices_gt"": []}","多选 2 个: [0, 1]",,754,1683
Path_Finder,path2.JPG,"{""answer_type"":""multi_select"",""indices"":[2]}","{""answer_type"": ""multi_select"", ""indices"": [2]}","{""indices_gt"": []}",多选 1 个: [2],,754,1617
Click_Order,image5.png,"{""answer_type"":""click_order"",""points"":[{""x"":220,""y"":70},{""x"":520,""y"":80},{""x"":520,""y"":320},{""x"":220,""y"":320}]}","{""answer_type"": ""click_order"", ""points"": [{""x"": 220, ""y"": 70}, {""x"": 520, ""y"": 80}, {""x"": 520, ""y"": 320}, {""x"": 220, ""y"": 320}]}","{""points_gt"": [{""x"": 165.0, ""y"": 75.0}, {""x"": 498.0, ""y"": 70.0}, {""x"": 487.0, ""y"": 270.0}, {""x"": 210.0, ""y"": 265.0}], ""tolerance"": 40.0}","第 1 个点击距离目标 55.2px (> tolerance 40.0); 预测 (220,70) vs GT (165,75). 第 3 个点击距离目标 59.9px (> tolerance 40.0); 预测 (520,320) vs GT (487,270). 第 4 个点击距离目标 55.9px (> tolerance 40.0); 预测 (220,320) vs GT (210,265).",,713,945
Click_Order,image10.png,"{""answer_type"":""click_order"",""points"":[{""x"":132,""y"":256},{""x"":505,""y"":56},{""x"":563,""y"":114},{""x"":274,""y"":318}]}","{""answer_type"": ""click_order"", ""points"": [{""x"": 132, ""y"": 256}, {""x"": 505, ""y"": 56}, {""x"": 563, ""y"": 114}, {""x"": 274, ""y"": 318}]}","{""points_gt"": [{""x"": 99.0, ""y"": 192.0}, {""x"": 384.0, ""y"": 50.0}, {""x"": 540.0, ""y"": 100.0}, {""x"": 242.0, ""y"": 274.0}], ""tolerance"": 40.0}","第 1 个点击距离目标 72.0px (> tolerance 40.0); 预测 (132,256) vs GT (99,192). 第 2 个点击距离目标 121.1px (> tolerance 40.0); 预测 (505,56) vs GT (384,50). 第 4 个点击距离目标 54.4px (> tolerance 40.0); 预测 (274,318) vs GT (242,274).",,713,1009
