provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5.1,Patch_Select,image4.jpg,1608,636,13230.1,13233.1
openai,gpt-5.1,Patch_Select,image6.jpg,1614,343,8497.6,8498.5
openai,gpt-5.1,Patch_Select,image5.jpg,1609,1045,26756.3,26758.7
openai,gpt-5.1,Patch_Select,image7.jpg,2028,805,18046.0,18049.1
openai,gpt-5.1,Patch_Select,image8.jpg,2029,226,9056.8,9059.9
openai,gpt-5.1,Patch_Select,image9.jpg,2028,560,12788.5,12790.9
openai,gpt-5.1,Patch_Select,image3.jpg,1609,105,5439.5,5441.9
openai,gpt-5.1,Patch_Select,image10.jpg,1608,125,5807.3,5809.5
openai,gpt-5.1,Pick_Area,image6.png,1750,993,27848.9,27857.6
openai,gpt-5.1,Pick_Area,image27.png,1750,312,10982.9,10987.8
openai,gpt-5.1,Pick_Area,image14.png,1750,432,12384.6,12388.6
openai,gpt-5.1,Pick_Area,image10.png,1750,624,25666.0,25669.7
openai,gpt-5.1,Pick_Area,image3.png,1750,487,14610.4,14614.0
openai,gpt-5.1,Pick_Area,image26.png,1750,1023,31454.6,31458.9
openai,gpt-5.1,Pick_Area,image25.png,1750,299,11257.9,11262.5
openai,gpt-5.1,Pick_Area,image28.png,1750,733,17092.6,17097.4
openai,gpt-5.1,Pick_Area,image22.png,1750,420,14742.1,14745.2
openai,gpt-5.1,Pick_Area,image18.png,1750,483,19605.9,19610.2
openai,gpt-5.1,Rotation_Match,puzzle_polarbear_direction_2.json,4303,5065,107923.9,107942.4
openai,gpt-5.1,Rotation_Match,puzzle_gold_direction_8.json,4303,2925,55929.5,55943.7
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_4.json,4023,4946,89074.9,89086.0
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_8.json,4303,2696,46896.0,46899.5
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_6.json,4303,3098,70642.8,70654.0
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_2.json,4023,3201,67052.5,67053.8
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_3.json,4023,6748,135585.6,135592.2
openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_3.json,4023,5561,121127.1,121139.1
openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_2.json,4023,3589,97583.5,97585.5
openai,gpt-5.1,Rotation_Match,puzzle_hungry_cat_direction_2.json,3743,6739,163016.3,163019.3
openai,gpt-5.1,Dice_Count,dice5.png,3014,3941,41554.6,41574.8
openai,gpt-5.1,Dice_Count,dice6.png,2734,726,15452.2,15460.1
openai,gpt-5.1,Dice_Count,dice12.png,3014,5281,64394.7,64407.0
openai,gpt-5.1,Dice_Count,dice8.png,3014,4557,154716.2,154726.5
openai,gpt-5.1,Dice_Count,dice9.png,3014,4186,50878.7,50889.9
openai,gpt-5.1,Dice_Count,dice7.png,2734,2511,31836.6,31846.5
openai,gpt-5.1,Dice_Count,dice3.png,3014,4511,48152.2,48167.5
openai,gpt-5.1,Dice_Count,dice10.png,3014,3591,38960.6,38970.1
openai,gpt-5.1,Dice_Count,dice4.png,3014,2483,30557.6,30570.8
openai,gpt-5.1,Click_Order,image9.png,2655,1545,19800.3,19806.8
openai,gpt-5.1,Click_Order,image3.png,2655,264,4703.7,4707.7
openai,gpt-5.1,Click_Order,image10.png,2655,522,7057.9,7061.8
openai,gpt-5.1,Click_Order,image4.png,2655,695,7060.8,7064.5
openai,gpt-5.1,Click_Order,image8.png,2655,932,11776.5,11780.4
openai,gpt-5.1,Click_Order,image5.png,2655,1154,10944.0,10946.8
openai,gpt-5.1,Click_Order,image6.png,2655,623,8288.2,8291.7
openai,gpt-5.1,Click_Order,image7.png,2655,338,3991.9,3994.5
openai,gpt-5.1,Place_Dot,path17.png,2229,349,5923.6,5933.0
openai,gpt-5.1,Place_Dot,path31.png,2229,646,10239.4,10241.9
openai,gpt-5.1,Place_Dot,path19.png,2229,354,7603.6,7607.6
openai,gpt-5.1,Place_Dot,path24.png,2229,598,10303.5,10307.7
openai,gpt-5.1,Place_Dot,path3.png,2229,684,10747.0,10750.6
openai,gpt-5.1,Place_Dot,path30.png,2229,688,10736.7,10740.8
openai,gpt-5.1,Place_Dot,path5.png,2229,370,8093.0,8096.9
openai,gpt-5.1,Place_Dot,path28.png,2229,353,7981.5,7985.4
openai,gpt-5.1,Place_Dot,path13.png,2229,473,9108.7,9112.7
openai,gpt-5.1,Place_Dot,path7.png,2229,1095,17710.1,17712.8
