provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5.1,Misleading_Click,image3.png,893,33,3609.5,3611.0
openai,gpt-5.1,Misleading_Click,image9.png,893,33,3546.1,3547.3
openai,gpt-5.1,Misleading_Click,image4.png,893,27,2860.6,2864.0
openai,gpt-5.1,Misleading_Click,image6.png,893,33,5310.3,5313.5
openai,gpt-5.1,Misleading_Click,image7.png,893,33,3278.9,3285.5
openai,gpt-5.1,Misleading_Click,image5.png,893,33,2781.1,2784.6
openai,gpt-5.1,Misleading_Click,image10.png,893,27,1921.5,1924.1
openai,gpt-5.1,Misleading_Click,image1.png,893,33,3579.2,3585.2
openai,gpt-5.1,Misleading_Click,image2.png,893,33,2246.7,2249.6
openai,gpt-5.1,Misleading_Click,image8.png,893,33,2333.0,2335.5
openai,gpt-5.1,Path_Finder,path6.JPG,4024,21,4895.9,4902.0
openai,gpt-5.1,Path_Finder,path2.JPG,4024,21,4333.2,4338.8
openai,gpt-5.1,Path_Finder,path5.JPG,4024,21,4459.7,4465.3
openai,gpt-5.1,Path_Finder,path10.JPG,4024,21,5349.3,5354.9
openai,gpt-5.1,Path_Finder,path3.JPG,4024,21,5522.1,5528.3
openai,gpt-5.1,Path_Finder,path8.JPG,4024,21,4602.5,4608.1
openai,gpt-5.1,Path_Finder,path7.JPG,4024,24,5208.6,5213.7
openai,gpt-5.1,Path_Finder,path9.JPG,4024,21,5634.4,5640.4
openai,gpt-5.1,Path_Finder,path1.JPG,4024,21,5929.7,5935.5
openai,gpt-5.1,Path_Finder,path4.JPG,4024,21,5780.3,5786.0
openai,gpt-5.1,Geometry_Click,geetest_000002.jpg,460,33,1277.8,1278.5
openai,gpt-5.1,Geometry_Click,vtt_000003.jpg,600,33,4505.5,4506.2
openai,gpt-5.1,Geometry_Click,geetest_000001.jpg,464,33,1124.2,1124.9
openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,459,33,1122.7,1123.4
openai,gpt-5.1,Geometry_Click,dingxiang_000005.jpg,464,33,1227.4,1228.0
openai,gpt-5.1,Geometry_Click,geetest_000005.jpg,460,33,911.2,911.8
openai,gpt-5.1,Geometry_Click,vtt_000001.jpg,599,33,1134.1,1134.9
openai,gpt-5.1,Geometry_Click,geetest_000003.jpg,457,27,1332.3,1332.8
openai,gpt-5.1,Geometry_Click,geetest_000004.jpg,460,33,1051.9,1052.5
openai,gpt-5.1,Geometry_Click,dingxiang_000001.jpg,465,27,1004.6,1005.1
openai,gpt-5.1,Geometry_Click,vtt_000004.jpg,600,33,1289.3,1290.0
openai,gpt-5.1,Geometry_Click,vtt_000002.jpg,597,33,1971.0,1971.7
openai,gpt-5.1,Geometry_Click,vtt_000005.jpg,600,27,1125.6,1126.3
openai,gpt-5.1,Geometry_Click,dingxiang_000002.jpg,459,33,1328.5,1329.1
openai,gpt-5.1,Geometry_Click,dingxiang_000003.jpg,460,27,1038.0,1038.7
openai,gpt-5.1,Patch_Select,image6.jpg,569,53,2132.5,2133.3
openai,gpt-5.1,Patch_Select,image4.jpg,563,35,1329.9,1330.8
openai,gpt-5.1,Patch_Select,image2.jpg,563,31,1534.9,1535.5
openai,gpt-5.1,Patch_Select,image3.jpg,564,27,1432.1,1432.8
openai,gpt-5.1,Patch_Select,image10.jpg,563,33,1198.1,1198.8
openai,gpt-5.1,Patch_Select,image8.jpg,984,23,1474.6,1475.6
openai,gpt-5.1,Patch_Select,image7.jpg,983,27,2721.7,2722.8
openai,gpt-5.1,Patch_Select,image5.jpg,564,33,1358.2,1358.9
openai,gpt-5.1,Patch_Select,image1.jpg,983,37,3066.5,3070.8
openai,gpt-5.1,Patch_Select,image9.jpg,983,25,1186.0,1186.8
openai,gpt-5.1,Image_Recognition,images14,2190,25,1367.5,1368.7
openai,gpt-5.1,Image_Recognition,images10,2190,29,1941.3,1943.9
openai,gpt-5.1,Image_Recognition,images12,2190,27,2067.6,2069.0
openai,gpt-5.1,Image_Recognition,images4,2190,33,2843.1,2845.6
openai,gpt-5.1,Image_Recognition,images5,2191,29,5524.8,5527.0
openai,gpt-5.1,Image_Recognition,images17,2190,27,1635.7,1637.2
openai,gpt-5.1,Image_Recognition,images13,2190,29,1329.1,1330.6
openai,gpt-5.1,Image_Recognition,images11,2190,27,1329.2,1330.6
openai,gpt-5.1,Image_Recognition,images18,2190,29,1533.9,1535.3
openai,gpt-5.1,Image_Recognition,images19,2190,27,1535.3,1536.5
openai,gpt-5.1,Image_Recognition,images3,2191,29,1634.6,1637.0
openai,gpt-5.1,Image_Recognition,images6,2190,29,1326.7,1329.2
openai,gpt-5.1,Image_Recognition,images16,2190,27,1533.4,1534.8
openai,gpt-5.1,Image_Recognition,images2,2191,29,1841.8,1844.0
openai,gpt-5.1,Image_Recognition,images20,2190,21,1585.5,1587.0
openai,gpt-5.1,Image_Recognition,images1,2191,33,1539.0,1541.4
openai,gpt-5.1,Image_Recognition,images15,2190,27,1843.6,1845.3
openai,gpt-5.1,Image_Recognition,images7,2190,27,1879.8,1882.5
openai,gpt-5.1,Image_Recognition,images8,2191,29,2862.2,2864.7
openai,gpt-5.1,Image_Recognition,images9,2191,29,2286.6,2288.9
openai,gpt-5.1,Connect_Icon,puzzle6.json,2528,24,3844.5,3854.1
openai,gpt-5.1,Connect_Icon,puzzle10.json,2108,21,4295.6,4299.2
openai,gpt-5.1,Connect_Icon,puzzle19.json,5678,21,9611.6,9625.1
openai,gpt-5.1,Connect_Icon,puzzle14.json,5678,21,8824.5,8828.4
openai,gpt-5.1,Connect_Icon,puzzle15.json,5678,21,8948.8,8952.3
openai,gpt-5.1,Connect_Icon,puzzle16.json,5678,21,9692.6,9696.4
openai,gpt-5.1,Connect_Icon,puzzle4.json,2528,21,3977.0,3981.5
openai,gpt-5.1,Connect_Icon,puzzle17.json,5678,21,9597.1,9600.7
openai,gpt-5.1,Connect_Icon,puzzle8.json,2108,21,2861.5,2864.2
openai,gpt-5.1,Connect_Icon,puzzle20.json,5678,21,9159.0,9162.4
openai,gpt-5.1,Connect_Icon,puzzle11.json,3327,21,3626.7,3632.8
openai,gpt-5.1,Connect_Icon,puzzle3.json,2948,21,5047.7,5050.2
openai,gpt-5.1,Connect_Icon,puzzle9.json,2108,21,3389.9,3393.0
openai,gpt-5.1,Connect_Icon,puzzle2.json,2108,21,2498.6,2501.5
openai,gpt-5.1,Connect_Icon,puzzle13.json,5048,21,7481.5,7485.9
openai,gpt-5.1,Connect_Icon,puzzle12.json,3368,21,4089.1,4093.5
openai,gpt-5.1,Connect_Icon,puzzle1.json,1968,21,2865.9,2868.4
openai,gpt-5.1,Connect_Icon,puzzle5.json,2528,21,3783.1,3785.8
openai,gpt-5.1,Connect_Icon,puzzle7.json,2528,21,5425.9,5428.3
openai,gpt-5.1,Connect_Icon,puzzle18.json,5678,21,8798.3,8801.9
openai,gpt-5.1,Dice_Count,dice9.png,1168,20,3793.5,3798.6
openai,gpt-5.1,Dice_Count,dice7.png,888,20,3055.4,3060.9
openai,gpt-5.1,Dice_Count,dice2.png,1168,20,4190.3,4197.2
openai,gpt-5.1,Dice_Count,dice6.png,888,20,3170.8,3175.4
openai,gpt-5.1,Dice_Count,dice10.png,1168,20,3883.7,3889.9
openai,gpt-5.1,Dice_Count,dice4.png,1168,20,4835.8,4843.8
openai,gpt-5.1,Dice_Count,dice12.png,1168,20,3645.0,3651.9
openai,gpt-5.1,Dice_Count,dice1.png,1168,20,5109.1,5118.9
openai,gpt-5.1,Dice_Count,dice8.png,1168,20,4291.0,4298.1
openai,gpt-5.1,Dice_Count,dice3.png,1168,20,4291.6,4300.8
openai,gpt-5.1,Dice_Count,dice5.png,1168,20,4701.0,4708.4
openai,gpt-5.1,Bingo,bingo16.png,1023,22,4518.1,4526.8
openai,gpt-5.1,Bingo,bingo2.png,1023,22,1817.7,1820.6
openai,gpt-5.1,Bingo,bingo25.png,1023,22,3881.7,3891.2
openai,gpt-5.1,Bingo,bingo20.png,1023,22,4596.2,4605.7
openai,gpt-5.1,Bingo,bingo6.png,1023,22,3819.9,3827.3
openai,gpt-5.1,Bingo,bingo15.png,1023,22,3103.3,3108.5
openai,gpt-5.1,Bingo,bingo17.png,1023,22,4523.0,4531.0
openai,gpt-5.1,Bingo,bingo22.png,1023,22,4391.7,4401.1
openai,gpt-5.1,Bingo,bingo10.png,1023,22,3474.8,3481.6
openai,gpt-5.1,Bingo,bingo9.png,1023,22,4057.5,4065.9
openai,gpt-5.1,Bingo,bingo24.png,1023,22,4216.8,4225.2
openai,gpt-5.1,Bingo,bingo13.png,1023,22,3472.7,3478.6
openai,gpt-5.1,Bingo,bingo3.png,1023,22,1923.0,1926.3
openai,gpt-5.1,Bingo,bingo7.png,1023,22,4004.4,4012.0
openai,gpt-5.1,Bingo,bingo12.png,1023,22,3882.7,3890.1
openai,gpt-5.1,Bingo,bingo18.png,1023,22,4934.9,4944.1
openai,gpt-5.1,Bingo,bingo23.png,1023,22,3646.0,3654.6
openai,gpt-5.1,Bingo,bingo19.png,1023,22,3984.2,3993.4
openai,gpt-5.1,Bingo,bingo11.png,1023,22,3168.0,3173.6
openai,gpt-5.1,Bingo,bingo4.png,1023,22,1756.0,1758.4
openai,gpt-5.1,Rotation_Match,puzzle_gold_direction_1.json,1477,20,3965.2,3973.6
openai,gpt-5.1,Rotation_Match,puzzle_polarbear_direction_3.json,1757,20,4704.2,4711.2
openai,gpt-5.1,Rotation_Match,puzzle_hungry_cat_direction_1.json,1197,20,3273.7,3274.8
openai,gpt-5.1,Rotation_Match,puzzle_polarbear_direction_2.json,1757,20,4910.2,4914.9
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_5.json,1477,20,2655.9,2660.0
openai,gpt-5.1,Rotation_Match,puzzle_hungry_cat_direction_7.json,1477,20,3474.7,3481.7
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_7.json,1757,20,3886.7,3888.5
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_3.json,1477,20,2967.5,2968.2
openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_6.json,1757,20,5789.7,5804.0
openai,gpt-5.1,Rotation_Match,puzzle_hungry_cat_direction_2.json,1197,20,2485.5,2486.6
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_2.json,1477,23,3111.5,3112.4
openai,gpt-5.1,Rotation_Match,puzzle_hungry_cat_direction_5.json,1197,20,3194.5,3195.3
openai,gpt-5.1,Rotation_Match,puzzle_gold_direction_5.json,1477,20,3930.1,3931.3
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_5.json,1477,23,2760.2,2761.5
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_6.json,1757,20,3583.9,3585.5
openai,gpt-5.1,Rotation_Match,puzzle_gold_direction_2.json,1477,20,4703.9,4705.1
openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_6.json,1757,20,3991.5,3992.8
openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_2.json,1477,20,3174.7,3175.7
openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_4.json,1477,20,7801.3,7807.0
openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_8.json,1757,20,6233.4,6238.9
openai,gpt-5.1,Image_Matching,ground_image17.png,4107,21,13674.4,13700.3
openai,gpt-5.1,Image_Matching,ground_image8.png,4107,24,14928.4,14945.2
openai,gpt-5.1,Image_Matching,ground_image10.png,4387,21,13913.2,13929.1
openai,gpt-5.1,Image_Matching,ground_image2.png,4107,21,12889.2,12911.0
openai,gpt-5.1,Image_Matching,ground_image12.png,4387,21,15644.4,15657.2
openai,gpt-5.1,Image_Matching,ground_image5.png,4107,21,17504.5,17507.6
openai,gpt-5.1,Image_Matching,ground_image16.png,4387,21,14020.9,14028.7
openai,gpt-5.1,Image_Matching,ground_image11.png,4107,21,13717.2,13720.1
openai,gpt-5.1,Image_Matching,ground_image15.png,4387,21,14848.3,14854.5
openai,gpt-5.1,Image_Matching,ground_image20.png,4387,21,14221.8,14224.8
openai,gpt-5.1,Image_Matching,ground_image19.png,4387,21,16075.1,16078.1
openai,gpt-5.1,Image_Matching,ground_image6.png,4107,21,17301.3,17304.6
openai,gpt-5.1,Image_Matching,ground_image7.png,4107,21,13246.1,13249.4
openai,gpt-5.1,Image_Matching,ground_image13.png,4387,21,13770.6,13773.4
openai,gpt-5.1,Image_Matching,ground_image14.png,4387,21,13008.7,13012.0
openai,gpt-5.1,Image_Matching,ground_image3.png,4107,21,17605.9,17609.6
openai,gpt-5.1,Image_Matching,ground_image18.png,4107,21,12181.5,12184.5
openai,gpt-5.1,Image_Matching,ground_image9.png,4107,21,14027.8,14030.4
openai,gpt-5.1,Image_Matching,ground_image1.png,4107,21,14022.3,14026.2
openai,gpt-5.1,Pick_Area,image23.png,432,31,1659.4,1662.5
openai,gpt-5.1,Pick_Area,image29.png,432,33,1609.4,1612.0
openai,gpt-5.1,Pick_Area,image15.png,432,27,1837.5,1841.5
openai,gpt-5.1,Pick_Area,image17.png,432,27,1838.2,1841.6
openai,gpt-5.1,Pick_Area,image8.png,432,33,1737.7,1740.3
openai,gpt-5.1,Pick_Area,image12.png,432,33,1635.2,1638.0
openai,gpt-5.1,Pick_Area,image7.png,432,33,1330.5,1333.0
openai,gpt-5.1,Pick_Area,image27.png,432,27,1834.5,1837.4
openai,gpt-5.1,Pick_Area,image14.png,432,33,1634.9,1638.0
openai,gpt-5.1,Pick_Area,image6.png,432,33,1839.2,1842.5
openai,gpt-5.1,Pick_Area,image19.png,432,27,2349.9,2353.3
openai,gpt-5.1,Pick_Area,image24.png,432,27,1820.3,1823.5
openai,gpt-5.1,Pick_Area,image10.png,432,27,1555.7,1557.5
openai,gpt-5.1,Pick_Area,image2.png,432,27,1631.7,1634.3
openai,gpt-5.1,Pick_Area,image25.png,432,37,1838.6,1841.9
openai,gpt-5.1,Pick_Area,image9.png,432,27,1238.9,1241.5
openai,gpt-5.1,Pick_Area,image3.png,432,27,1312.7,1315.2
openai,gpt-5.1,Pick_Area,image26.png,432,33,3466.0,3468.6
openai,gpt-5.1,Pick_Area,image28.png,432,33,1690.4,1693.7
openai,gpt-5.1,Pick_Area,image13.png,432,27,1883.2,1886.3
openai,gpt-5.1,Dart_Count,dart_puzzle_10.json,8486,21,19131.6,19162.5
openai,gpt-5.1,Dart_Count,dart_puzzle_4.json,8486,21,18426.1,18431.9
openai,gpt-5.1,Dart_Count,dart_puzzle_7.json,7856,21,22007.0,22014.8
openai,gpt-5.1,Dart_Count,dart_puzzle_18.json,9746,21,19115.6,19150.1
openai,gpt-5.1,Dart_Count,dart_puzzle_12.json,9746,21,20365.8,20375.4
openai,gpt-5.1,Dart_Count,dart_puzzle_8.json,8486,21,14839.5,14847.1
openai,gpt-5.1,Dart_Count,dart_puzzle_20.json,8486,21,16785.1,16790.2
openai,gpt-5.1,Dart_Count,dart_puzzle_13.json,9746,21,22826.5,22835.6
openai,gpt-5.1,Dart_Count,dart_puzzle_1.json,8486,21,15146.0,15153.8
openai,gpt-5.1,Dart_Count,dart_puzzle_14.json,9746,21,20165.8,20171.2
openai,gpt-5.1,Dart_Count,dart_puzzle_16.json,9746,21,24416.3,24425.8
openai,gpt-5.1,Dart_Count,dart_puzzle_17.json,9746,21,23060.6,23070.8
openai,gpt-5.1,Dart_Count,dart_puzzle_9.json,8486,21,20959.9,20964.9
openai,gpt-5.1,Dart_Count,dart_puzzle_3.json,8486,21,15396.3,15399.8
openai,gpt-5.1,Dart_Count,dart_puzzle_15.json,9746,21,22214.8,22220.5
openai,gpt-5.1,Dart_Count,dart_puzzle_6.json,8486,21,15454.1,15461.6
openai,gpt-5.1,Dart_Count,dart_puzzle_2.json,8486,21,14528.2,14537.4
openai,gpt-5.1,Dart_Count,dart_puzzle_19.json,9746,21,19599.0,19603.8
openai,gpt-5.1,Dart_Count,dart_puzzle_5.json,8486,21,15617.1,15620.6
openai,gpt-5.1,Dart_Count,dart_puzzle_11.json,9746,21,20370.9,20376.2
openai,gpt-5.1,Select_Animal,image13.png,919,21,3681.0,3687.2
openai,gpt-5.1,Select_Animal,image24.png,919,21,2113.9,2119.8
openai,gpt-5.1,Select_Animal,image11.png,868,21,3326.7,3332.9
openai,gpt-5.1,Select_Animal,image7.png,919,21,3935.5,3943.4
openai,gpt-5.1,Select_Animal,image22.png,919,21,3320.1,3327.0
openai,gpt-5.1,Select_Animal,image30.png,919,21,3339.2,3344.0
openai,gpt-5.1,Select_Animal,image9.png,920,21,3682.3,3689.0
openai,gpt-5.1,Select_Animal,image18.png,919,21,3939.3,3945.8
openai,gpt-5.1,Select_Animal,image21.png,920,21,3824.7,3831.1
openai,gpt-5.1,Select_Animal,image10.png,919,21,3582.6,3589.8
openai,gpt-5.1,Select_Animal,image14.png,920,21,2777.5,2783.5
openai,gpt-5.1,Select_Animal,image28.png,919,21,2938.6,2943.8
openai,gpt-5.1,Select_Animal,image5.png,919,21,4858.0,4865.7
openai,gpt-5.1,Select_Animal,image3.png,920,21,5057.1,5063.5
openai,gpt-5.1,Select_Animal,image29.png,919,21,2654.6,2660.1
openai,gpt-5.1,Select_Animal,image23.png,919,21,2759.2,2764.5
openai,gpt-5.1,Select_Animal,image27.png,919,21,2962.3,2967.8
openai,gpt-5.1,Select_Animal,image20.png,919,21,2964.7,2969.9
openai,gpt-5.1,Select_Animal,image26.png,919,21,2861.7,2867.3
openai,gpt-5.1,Select_Animal,image15.png,920,21,2962.8,2969.3
openai,gpt-5.1,Place_Dot,path8.png,925,27,2040.7,2043.5
openai,gpt-5.1,Place_Dot,path23.png,925,33,1739.2,1742.4
openai,gpt-5.1,Place_Dot,path13.png,925,27,1429.8,1431.8
openai,gpt-5.1,Place_Dot,path9.png,925,27,1531.8,1534.7
openai,gpt-5.1,Place_Dot,path7.png,925,27,1737.6,1740.2
openai,gpt-5.1,Place_Dot,path10.png,925,33,1285.3,1288.7
openai,gpt-5.1,Place_Dot,path31.png,925,27,2082.9,2086.0
openai,gpt-5.1,Place_Dot,path19.png,925,33,1840.0,1842.9
openai,gpt-5.1,Place_Dot,path30.png,925,33,1842.3,1845.0
openai,gpt-5.1,Place_Dot,path2.png,925,27,1631.3,1634.5
openai,gpt-5.1,Place_Dot,path12.png,925,27,1686.7,1690.2
openai,gpt-5.1,Place_Dot,path15.png,925,27,1684.7,1687.4
openai,gpt-5.1,Place_Dot,path32.png,925,27,1802.4,1805.4
openai,gpt-5.1,Place_Dot,path16.png,925,27,2082.2,2085.0
openai,gpt-5.1,Place_Dot,path6.png,925,27,2183.5,2186.5
openai,gpt-5.1,Place_Dot,path24.png,925,33,1800.7,1803.6
openai,gpt-5.1,Place_Dot,path27.png,925,27,2061.0,2063.7
openai,gpt-5.1,Place_Dot,path1.png,925,33,1918.7,1921.8
openai,gpt-5.1,Place_Dot,path26.png,925,27,1948.1,1950.9
openai,gpt-5.1,Place_Dot,path20.png,925,33,2043.8,2046.9
openai,gpt-5.1,Object_Match,example1.png,4066,21,16605.4,16635.3
openai,gpt-5.1,Object_Match,example20.png,4066,21,8020.2,8041.3
openai,gpt-5.1,Object_Match,example12.png,4066,21,12254.2,12268.3
openai,gpt-5.1,Object_Match,example4.png,4066,21,13207.4,13227.2
openai,gpt-5.1,Object_Match,example18.png,4066,21,8699.0,8702.8
openai,gpt-5.1,Object_Match,example15.png,4066,21,7674.2,7679.6
openai,gpt-5.1,Object_Match,example2.png,4066,21,15427.7,15440.2
openai,gpt-5.1,Object_Match,example9.png,4066,21,17502.9,17525.1
openai,gpt-5.1,Object_Match,example17.png,4066,21,10771.1,10774.8
openai,gpt-5.1,Object_Match,example19.png,4066,21,11005.6,11009.2
openai,gpt-5.1,Object_Match,example5.png,4066,21,14115.4,14121.4
openai,gpt-5.1,Object_Match,example3.png,4066,24,18340.4,18346.9
openai,gpt-5.1,Object_Match,example8.png,4066,21,19290.6,19299.5
openai,gpt-5.1,Object_Match,example11.png,4066,21,12561.7,12566.1
openai,gpt-5.1,Object_Match,example7.png,4066,21,14985.0,15006.4
openai,gpt-5.1,Object_Match,example6.png,4066,21,16616.6,16623.0
openai,gpt-5.1,Object_Match,example16.png,4066,24,8323.7,8329.3
openai,gpt-5.1,Object_Match,example14.png,4066,21,7541.1,7546.8
openai,gpt-5.1,Object_Match,example10.png,4066,21,20670.9,20686.1
openai,gpt-5.1,Object_Match,example13.png,4066,21,8806.2,8810.0
openai,gpt-5.1,Click_Order,image6.png,861,53,1320.9,1323.9
openai,gpt-5.1,Click_Order,image9.png,861,53,1447.2,1450.4
