provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
anthropic,claude-sonnet-4-5,Misleading_Click,image3.png,1498,64,3336.0,3336.0
anthropic,claude-sonnet-4-5,Misleading_Click,image9.png,1272,64,4009.4,4009.4
anthropic,claude-sonnet-4-5,Misleading_Click,image4.png,1481,64,2991.6,2991.6
anthropic,claude-sonnet-4-5,Misleading_Click,image6.png,1481,64,4472.5,4472.5
anthropic,claude-sonnet-4-5,Misleading_Click,image7.png,2275,64,3087.9,3087.9
anthropic,claude-sonnet-4-5,Misleading_Click,image5.png,1481,64,2757.0,2757.0
anthropic,claude-sonnet-4-5,Misleading_Click,image10.png,1271,64,2955.5,2955.5
anthropic,claude-sonnet-4-5,Misleading_Click,image1.png,2200,64,3687.5,3687.5
anthropic,claude-sonnet-4-5,Misleading_Click,image2.png,1498,64,2962.2,2962.2
anthropic,claude-sonnet-4-5,Misleading_Click,image8.png,1293,64,4911.2,4911.2
