provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-pro,Unusual_Detection,unusual25.png,387,22,9705.6,9705.6
gemini,gemini-2.5-pro,Unusual_Detection,unusual15.png,387,22,10206.4,10206.4
gemini,gemini-2.5-pro,Unusual_Detection,unusual4.png,387,16,34214.4,34214.4
gemini,gemini-2.5-pro,Unusual_Detection,unusual1.png,387,16,12714.0,12714.0
gemini,gemini-2.5-pro,Unusual_Detection,unusual3.png,387,16,9292.1,9292.1
gemini,gemini-2.5-pro,Unusual_Detection,unusual19.png,387,19,6802.4,6802.4
gemini,gemini-2.5-pro,Unusual_Detection,unusual2.png,387,19,10651.0,10651.0
gemini,gemini-2.5-pro,Unusual_Detection,unusual22.png,387,16,9281.6,9281.6
gemini,gemini-2.5-pro,Unusual_Detection,unusual26.png,387,22,10417.8,10417.8
gemini,gemini-2.5-pro,Unusual_Detection,unusual28.png,387,19,10463.2,10463.2
gemini,gemini-2.5-pro,Unusual_Detection,unusual12.png,387,22,9249.9,9249.9
gemini,gemini-2.5-pro,Unusual_Detection,unusual8.png,387,16,11126.0,11126.0
gemini,gemini-2.5-pro,Unusual_Detection,unusual27.png,387,16,10023.8,10023.8
gemini,gemini-2.5-pro,Unusual_Detection,unusual18.png,387,19,14033.9,14033.9
gemini,gemini-2.5-pro,Unusual_Detection,unusual17.png,387,19,9518.3,9518.3
gemini,gemini-2.5-pro,Unusual_Detection,unusual6.png,387,22,17504.8,17504.8
gemini,gemini-2.5-pro,Unusual_Detection,unusual11.png,387,22,9521.8,9521.8
gemini,gemini-2.5-pro,Unusual_Detection,unusual10.png,387,22,10849.4,10849.4
gemini,gemini-2.5-pro,Unusual_Detection,unusual30.png,387,16,9995.3,9995.3
gemini,gemini-2.5-pro,Unusual_Detection,unusual13.png,387,19,11009.6,11009.6
gemini,gemini-2.5-pro,Image_Matching,ground_image18.png,1679,14,14538.2,14538.2
gemini,gemini-2.5-pro,Image_Matching,ground_image11.png,1679,14,60998.6,60998.6
gemini,gemini-2.5-pro,Image_Matching,ground_image20.png,1679,14,8801.7,8801.7
gemini,gemini-2.5-pro,Image_Matching,ground_image17.png,1679,14,32869.9,32869.9
gemini,gemini-2.5-pro,Image_Matching,ground_image8.png,1679,14,34568.3,34568.3
gemini,gemini-2.5-pro,Image_Matching,ground_image19.png,1679,14,8742.7,8742.7
gemini,gemini-2.5-pro,Image_Matching,ground_image14.png,1679,14,8705.6,8705.6
gemini,gemini-2.5-pro,Image_Matching,ground_image12.png,1679,14,12958.2,12958.2
gemini,gemini-2.5-pro,Image_Matching,ground_image15.png,1679,14,23334.9,23334.9
gemini,gemini-2.5-pro,Image_Matching,ground_image5.png,1679,14,23051.1,23051.1
gemini,gemini-2.5-pro,Image_Matching,ground_image9.png,1679,14,8631.8,8631.8
gemini,gemini-2.5-pro,Image_Matching,ground_image10.png,1679,14,28338.9,28338.9
gemini,gemini-2.5-pro,Image_Matching,ground_image2.png,1679,14,14585.9,14585.9
gemini,gemini-2.5-pro,Image_Matching,ground_image1.png,1679,14,36133.6,36133.6
gemini,gemini-2.5-pro,Image_Matching,ground_image13.png,1679,14,8155.5,8155.5
gemini,gemini-2.5-pro,Image_Matching,ground_image7.png,1679,14,12411.0,12411.0
gemini,gemini-2.5-pro,Image_Matching,ground_image3.png,1679,14,15731.4,15731.4
gemini,gemini-2.5-pro,Image_Matching,ground_image6.png,1679,14,8507.3,8507.3
gemini,gemini-2.5-pro,Image_Matching,ground_image16.png,1679,11,15205.7,15205.7
gemini,gemini-2.5-pro,Rotation_Match,puzzle_polarbear_direction_2.json,589,15,17988.1,17988.1
gemini,gemini-2.5-pro,Rotation_Match,puzzle_hungry_cat_direction_4.json,589,16,21814.0,21814.0
gemini,gemini-2.5-pro,Rotation_Match,puzzle_gold_direction_7.json,589,14,7108.9,7108.9
gemini,gemini-2.5-pro,Rotation_Match,puzzle_hungry_cat_direction_7.json,589,15,8499.8,8499.8
gemini,gemini-2.5-pro,Rotation_Match,puzzle_hungry_cat_direction_2.json,589,14,8235.6,8235.6
gemini,gemini-2.5-pro,Rotation_Match,puzzle_sad_cat_direction_8.json,589,22,10875.3,10875.3
gemini,gemini-2.5-pro,Rotation_Match,puzzle_polarbear_direction_8.json,589,14,9528.0,9528.0
gemini,gemini-2.5-pro,Rotation_Match,puzzle_sad_cat_direction_5.json,589,16,12995.1,12995.1
gemini,gemini-2.5-pro,Rotation_Match,puzzle_gold_direction_6.json,589,15,8424.7,8424.7
gemini,gemini-2.5-pro,Rotation_Match,puzzle_panda_direction_2.json,589,22,19704.7,19704.7
gemini,gemini-2.5-pro,Rotation_Match,puzzle_cat_direction_2.json,589,15,16279.0,16279.0
gemini,gemini-2.5-pro,Rotation_Match,puzzle_panda_direction_1.json,589,14,10163.1,10163.1
gemini,gemini-2.5-pro,Rotation_Match,puzzle_cat_direction_5.json,589,16,9685.0,9685.0
gemini,gemini-2.5-pro,Rotation_Match,puzzle_cat_direction_1.json,589,14,3847.8,3847.8
gemini,gemini-2.5-pro,Rotation_Match,puzzle_hungry_cat_direction_6.json,589,24,23539.9,23539.9
gemini,gemini-2.5-pro,Rotation_Match,puzzle_sad_cat_direction_2.json,589,15,14806.9,14806.9
gemini,gemini-2.5-pro,Rotation_Match,puzzle_polarbear_direction_6.json,589,15,11531.4,11531.4
gemini,gemini-2.5-pro,Rotation_Match,puzzle_panda_direction_7.json,589,14,9044.7,9044.7
gemini,gemini-2.5-pro,Rotation_Match,puzzle_polarbear_direction_1.json,589,14,19378.2,19378.2
gemini,gemini-2.5-pro,Rotation_Match,puzzle_cat_direction_6.json,589,15,10065.7,10065.7
gemini,gemini-2.5-pro,Patch_Select,image4.jpg,420,39,9194.0,9194.0
gemini,gemini-2.5-pro,Patch_Select,image3.jpg,420,31,6901.6,6901.6
gemini,gemini-2.5-pro,Patch_Select,image6.jpg,428,87,18652.9,18652.9
gemini,gemini-2.5-pro,Patch_Select,image7.jpg,420,25,5629.3,5629.3
gemini,gemini-2.5-pro,Patch_Select,image5.jpg,420,25,7423.8,7423.8
gemini,gemini-2.5-pro,Patch_Select,image10.jpg,420,25,4960.4,4960.4
gemini,gemini-2.5-pro,Patch_Select,image9.jpg,420,37,6959.2,6959.2
gemini,gemini-2.5-pro,Patch_Select,image8.jpg,421,24,7270.7,7270.7
gemini,gemini-2.5-pro,Patch_Select,image2.jpg,420,49,6510.4,6510.4
gemini,gemini-2.5-pro,Patch_Select,image1.jpg,420,41,8988.3,8988.3
gemini,gemini-2.5-pro,Geometry_Click,vtt_000001.jpg,354,29,6915.6,6915.6
gemini,gemini-2.5-pro,Geometry_Click,vtt_000002.jpg,352,29,12079.9,12079.9
gemini,gemini-2.5-pro,Geometry_Click,vtt_000004.jpg,355,29,4195.0,4195.0
gemini,gemini-2.5-pro,Geometry_Click,geetest_000002.jpg,356,29,16074.4,16074.4
gemini,gemini-2.5-pro,Geometry_Click,geetest_000005.jpg,356,29,9214.4,9214.4
gemini,gemini-2.5-pro,Geometry_Click,dingxiang_000004.jpg,355,29,8599.2,8599.2
gemini,gemini-2.5-pro,Geometry_Click,dingxiang_000001.jpg,359,28,7778.6,7778.6
gemini,gemini-2.5-pro,Geometry_Click,geetest_000003.jpg,352,29,8819.9,8819.9
gemini,gemini-2.5-pro,Geometry_Click,dingxiang_000005.jpg,360,29,16161.5,16161.5
gemini,gemini-2.5-pro,Geometry_Click,dingxiang_000003.jpg,355,29,6214.0,6214.0
gemini,gemini-2.5-pro,Geometry_Click,geetest_000004.jpg,356,29,6258.8,6258.8
gemini,gemini-2.5-pro,Geometry_Click,dingxiang_000002.jpg,355,29,7897.7,7897.7
gemini,gemini-2.5-pro,Geometry_Click,vtt_000003.jpg,355,29,3888.6,3888.6
gemini,gemini-2.5-pro,Geometry_Click,geetest_000001.jpg,360,29,8703.5,8703.5
gemini,gemini-2.5-pro,Geometry_Click,vtt_000005.jpg,355,29,5216.8,5216.8
gemini,gemini-2.5-pro,Bingo,bingo5.png,461,29,8599.9,8599.9
gemini,gemini-2.5-pro,Bingo,bingo10.png,461,17,26211.7,26211.7
gemini,gemini-2.5-pro,Bingo,bingo25.png,461,29,12961.1,12961.1
gemini,gemini-2.5-pro,Bingo,bingo15.png,461,17,99159.5,99159.5
gemini,gemini-2.5-pro,Bingo,bingo2.png,461,29,10053.3,10053.3
gemini,gemini-2.5-pro,Bingo,bingo19.png,461,29,13495.2,13495.2
gemini,gemini-2.5-pro,Bingo,bingo13.png,461,17,47115.2,47115.2
gemini,gemini-2.5-pro,Bingo,bingo12.png,461,17,10630.0,10630.0
gemini,gemini-2.5-pro,Bingo,bingo16.png,461,17,15630.2,15630.2
gemini,gemini-2.5-pro,Bingo,bingo11.png,461,17,19999.5,19999.5
