provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Click_Order,image3.jpg,695,161,3182.2,3182.2
gemini,gemini-2.5-flash,Click_Order,image9.jpg,695,148,3280.9,3280.9
gemini,gemini-2.5-flash,Click_Order,image4.jpg,695,151,2740.5,2740.5
gemini,gemini-2.5-flash,Click_Order,image6.jpg,695,134,2670.9,2670.9
gemini,gemini-2.5-flash,Click_Order,image7.jpg,695,155,2456.1,2456.1
gemini,gemini-2.5-flash,Click_Order,image5.jpg,695,178,5219.0,5219.0
gemini,gemini-2.5-flash,Click_Order,image10.jpg,695,151,4194.3,4194.3
gemini,gemini-2.5-flash,Click_Order,image1.jpg,695,153,4913.6,4913.6
gemini,gemini-2.5-flash,Click_Order,image2.jpg,695,148,3582.7,3582.7
gemini,gemini-2.5-flash,Click_Order,image8.jpg,695,150,3884.4,3884.4
gemini,gemini-2.5-flash,Dice_Count,dice6.jpg,390,110,4302.4,4302.4
gemini,gemini-2.5-flash,Dice_Count,dice2.jpg,390,72,7466.0,7466.0
gemini,gemini-2.5-flash,Dice_Count,dice5.jpg,390,189,8395.3,8395.3
gemini,gemini-2.5-flash,Dice_Count,dice10.jpg,390,184,7570.5,7570.5
gemini,gemini-2.5-flash,Dice_Count,dice3.jpg,390,179,9108.7,9108.7
gemini,gemini-2.5-flash,Dice_Count,dice8.jpg,390,189,8088.2,8088.2
gemini,gemini-2.5-flash,Dice_Count,dice7.jpg,390,123,7279.1,7279.1
gemini,gemini-2.5-flash,Dice_Count,dice9.jpg,390,152,7487.5,7487.5
gemini,gemini-2.5-flash,Dice_Count,dice1.jpg,390,115,8244.1,8244.1
gemini,gemini-2.5-flash,Dice_Count,dice4.jpg,390,203,8467.3,8467.3
gemini,gemini-2.5-flash,Place_Dot,path9.jpg,429,114,4156.4,4156.4
gemini,gemini-2.5-flash,Place_Dot,path8.jpg,429,85,2820.5,2820.5
gemini,gemini-2.5-flash,Place_Dot,path5.jpg,429,98,2491.2,2491.2
gemini,gemini-2.5-flash,Place_Dot,path4.jpg,429,96,5309.1,5309.1
gemini,gemini-2.5-flash,Place_Dot,path7.jpg,429,103,2457.0,2457.0
gemini,gemini-2.5-flash,Place_Dot,path1.jpg,429,97,2248.1,2248.1
gemini,gemini-2.5-flash,Place_Dot,path6.jpg,429,90,3070.9,3070.9
gemini,gemini-2.5-flash,Place_Dot,path10.jpg,429,104,6628.2,6628.2
gemini,gemini-2.5-flash,Place_Dot,path2.jpg,429,107,2411.9,2411.9
gemini,gemini-2.5-flash,Place_Dot,path3.jpg,429,196,8890.1,8890.1
gemini,gemini-2.5-flash,Patch_Select,image3.jpg,399,100,2320.8,2320.8
gemini,gemini-2.5-flash,Patch_Select,image4.jpg,399,95,3693.4,3693.4
gemini,gemini-2.5-flash,Patch_Select,image10.jpg,399,112,2148.0,2148.0
gemini,gemini-2.5-flash,Patch_Select,image7.jpg,399,110,2777.6,2777.6
gemini,gemini-2.5-flash,Patch_Select,image1.jpg,399,83,1928.8,1928.8
gemini,gemini-2.5-flash,Patch_Select,image6.jpg,407,109,5691.7,5691.7
gemini,gemini-2.5-flash,Patch_Select,image5.jpg,399,75,2288.9,2288.9
gemini,gemini-2.5-flash,Patch_Select,image2.jpg,399,74,3041.2,3041.2
gemini,gemini-2.5-flash,Patch_Select,image8.jpg,400,82,3098.2,3098.2
gemini,gemini-2.5-flash,Patch_Select,image9.jpg,399,115,3887.5,3887.5
