kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,openai,gpt-5,Misleading_Click,image8.png,1,24544.2,1,
summary,openai,gpt-5,Connect_Icon,puzzle8.json,1,48610.7,1,
summary,openai,gpt-5,Dice_Count,dice6.png,5,844755.9,1,
summary,openai,gpt-5,Unusual_Detection,unusual5.png,2,83250.9,1,
summary,openai,gpt-5,Path_Finder,path4.JPG,1,39444.7,1,
summary,openai,gpt-5,Rotation_Match,,10,675905.3,0,
summary,openai,gpt-5,Object_Match,example10.png,2,245301.9,1,
summary,openai,gpt-5,Dart_Count,dart_puzzle_7.json,1,66962.2,1,
summary,openai,gpt-5,Pick_Area,,10,807134.0,0,
summary,openai,gpt-5,Image_Matching,ground_image4.png,1,31789.6,1,
summary,openai,gpt-5,Select_Animal,image6.png,1,11874.3,1,
summary,openai,gpt-5,Bingo,bingo7.png,1,147518.1,1,
summary,openai,gpt-5,Click_Order,,10,363962.1,0,
summary,openai,gpt-5,Patch_Select,image5.jpg,2,176940.4,1,
summary,openai,gpt-5,Coordinates,coordinate_sample7.png,2,107974.6,1,
summary,openai,gpt-5,Image_Recognition,images6,1,12636.8,1,
summary,openai,gpt-5,Geometry_Click,geetest_000002.jpg,1,80017.6,1,
summary,openai,gpt-5,Place_Dot,,10,509071.1,0,
