provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Patch_Select,image3.jpg,584,35,3678.3,3678.3
gemini,gemini-2.5-flash,Patch_Select,image9.jpg,584,37,3419.3,3419.3
gemini,gemini-2.5-flash,Patch_Select,image4.jpg,584,31,3709.3,3709.3
gemini,gemini-2.5-flash,Patch_Select,image6.jpg,592,71,2842.4,2842.4
gemini,gemini-2.5-flash,Patch_Select,image7.jpg,584,29,3113.5,3113.5
gemini,gemini-2.5-flash,Patch_Select,image5.jpg,584,28,2369.0,2369.0
gemini,gemini-2.5-flash,Patch_Select,image10.jpg,584,25,3374.5,3374.5
gemini,gemini-2.5-flash,Patch_Select,image1.jpg,584,83,4956.4,4956.4
gemini,gemini-2.5-flash,Patch_Select,image2.jpg,584,54,4313.5,4313.5
gemini,gemini-2.5-flash,Patch_Select,image8.jpg,585,45,4594.2,4594.2
gemini,gemini-2.5-flash,Coordinates,coordinate_sample6.png,2284,14,3868.7,3868.7
gemini,gemini-2.5-flash,Coordinates,coordinate_sample2.png,1768,14,2640.3,2640.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample5.png,2284,14,6075.4,6075.4
gemini,gemini-2.5-flash,Coordinates,coordinate_sample10.png,2284,14,4968.0,4968.0
gemini,gemini-2.5-flash,Coordinates,coordinate_sample3.png,1768,14,3525.9,3525.9
gemini,gemini-2.5-flash,Coordinates,coordinate_sample8.png,2284,14,5034.1,5034.1
gemini,gemini-2.5-flash,Coordinates,coordinate_sample7.png,2284,14,4148.8,4148.8
gemini,gemini-2.5-flash,Coordinates,coordinate_sample9.png,2284,14,5332.3,5332.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample1.png,1768,14,4077.2,4077.2
gemini,gemini-2.5-flash,Coordinates,coordinate_sample4.png,2284,14,3712.9,3712.9
gemini,gemini-2.5-flash,Unusual_Detection,unusual9.png,517,19,5000.2,5000.2
gemini,gemini-2.5-flash,Unusual_Detection,unusual8.png,517,16,5266.2,5266.2
gemini,gemini-2.5-flash,Unusual_Detection,unusual5.png,517,19,5406.8,5406.8
gemini,gemini-2.5-flash,Unusual_Detection,unusual4.png,517,19,4668.9,4668.9
gemini,gemini-2.5-flash,Unusual_Detection,unusual7.png,517,16,6247.3,6247.3
