provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5,Patch_Select,image10.jpg,2012,537,19565.7,19566.0
openai,gpt-5,Patch_Select,image3.jpg,2013,1992,60724.6,60726.9
openai,gpt-5,Patch_Select,image9.jpg,2432,651,24359.2,24361.8
openai,gpt-5,Patch_Select,image8.jpg,2433,970,32728.5,32731.7
openai,gpt-5,Dice_Count,dice3.png,3417,7757,1461980.2,1462002.6
openai,gpt-5,Dice_Count,dice4.png,3417,4785,175499.6,175512.6
openai,gpt-5,Dice_Count,dice12.png,3417,5716,176525.2,176537.7
openai,gpt-5,Dice_Count,dice5.png,3417,6716,158499.1,158511.2
openai,gpt-5,Place_Dot,path10.png,2633,2328,53439.0,53448.1
openai,gpt-5,Place_Dot,path3.png,2633,2467,90925.8,90930.0
openai,gpt-5,Place_Dot,path28.png,2633,2362,69319.8,69324.5
openai,gpt-5,Place_Dot,path14.png,2633,2592,83858.8,83862.4
openai,gpt-5,Click_Order,image10.png,3058,1688,48329.3,48331.0
openai,gpt-5,Click_Order,image7.png,3058,1308,37944.6,37947.5
openai,gpt-5,Click_Order,image6.png,3058,2305,90478.1,90480.7
openai,gpt-5,Click_Order,image4.png,3058,2483,72068.9,72072.7
openai,gpt-5,Pick_Area,image5.png,2154,2589,79339.6,79350.0
openai,gpt-5,Pick_Area,image8.png,2154,2568,71075.5,71079.9
openai,gpt-5,Pick_Area,image25.png,2154,3295,701571.6,701576.2
openai,gpt-5,Pick_Area,image6.png,2154,2135,671483.5,671487.9
