provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Unusual_Detection,unusual25.png,387,22,3717.0,3717.0
gemini,gemini-2.5-flash,Unusual_Detection,unusual15.png,387,22,4442.3,4442.3
gemini,gemini-2.5-flash,Unusual_Detection,unusual4.png,387,19,5025.7,5025.7
gemini,gemini-2.5-flash,Unusual_Detection,unusual1.png,387,19,3265.7,3265.7
gemini,gemini-2.5-flash,Unusual_Detection,unusual3.png,387,16,3992.9,3992.9
gemini,gemini-2.5-flash,Unusual_Detection,unusual19.png,387,19,3581.1,3581.1
gemini,gemini-2.5-flash,Unusual_Detection,unusual2.png,387,19,4654.1,4654.1
gemini,gemini-2.5-flash,Unusual_Detection,unusual22.png,387,16,3532.3,3532.3
gemini,gemini-2.5-flash,Unusual_Detection,unusual26.png,387,22,5531.2,5531.2
gemini,gemini-2.5-flash,Unusual_Detection,unusual28.png,387,19,3698.0,3698.0
gemini,gemini-2.5-flash,Unusual_Detection,unusual12.png,387,22,3358.0,3358.0
gemini,gemini-2.5-flash,Unusual_Detection,unusual8.png,387,16,2860.2,2860.2
gemini,gemini-2.5-flash,Unusual_Detection,unusual27.png,387,16,3306.1,3306.1
gemini,gemini-2.5-flash,Unusual_Detection,unusual18.png,387,16,3456.6,3456.6
gemini,gemini-2.5-flash,Unusual_Detection,unusual17.png,387,19,5828.2,5828.2
gemini,gemini-2.5-flash,Unusual_Detection,unusual6.png,387,22,8041.6,8041.6
gemini,gemini-2.5-flash,Unusual_Detection,unusual11.png,387,22,3735.9,3735.9
gemini,gemini-2.5-flash,Unusual_Detection,unusual10.png,387,22,5732.0,5732.0
gemini,gemini-2.5-flash,Unusual_Detection,unusual30.png,387,16,6074.8,6074.8
gemini,gemini-2.5-flash,Unusual_Detection,unusual13.png,387,19,4157.4,4157.4
gemini,gemini-2.5-flash,Image_Matching,ground_image18.png,1679,14,6419.3,6419.3
gemini,gemini-2.5-flash,Image_Matching,ground_image11.png,1679,14,24753.4,24753.4
gemini,gemini-2.5-flash,Image_Matching,ground_image20.png,1679,14,7316.8,7316.8
gemini,gemini-2.5-flash,Image_Matching,ground_image17.png,1679,14,5852.8,5852.8
gemini,gemini-2.5-flash,Image_Matching,ground_image8.png,1679,14,6214.4,6214.4
gemini,gemini-2.5-flash,Image_Matching,ground_image19.png,1679,14,22600.7,22600.7
gemini,gemini-2.5-flash,Image_Matching,ground_image14.png,1679,14,5778.9,5778.9
gemini,gemini-2.5-flash,Image_Matching,ground_image12.png,1679,14,5920.2,5920.2
gemini,gemini-2.5-flash,Image_Matching,ground_image15.png,1679,14,5305.2,5305.2
gemini,gemini-2.5-flash,Image_Matching,ground_image5.png,1679,14,6973.8,6973.8
gemini,gemini-2.5-flash,Image_Matching,ground_image9.png,1679,14,6140.0,6140.0
gemini,gemini-2.5-flash,Image_Matching,ground_image10.png,1679,14,12859.6,12859.6
gemini,gemini-2.5-flash,Image_Matching,ground_image2.png,1679,14,5974.4,5974.4
gemini,gemini-2.5-flash,Image_Matching,ground_image1.png,1679,14,6246.2,6246.2
gemini,gemini-2.5-flash,Image_Matching,ground_image13.png,1679,14,11981.8,11981.8
gemini,gemini-2.5-flash,Image_Matching,ground_image7.png,1679,14,5624.8,5624.8
gemini,gemini-2.5-flash,Image_Matching,ground_image3.png,1679,14,12144.1,12144.1
gemini,gemini-2.5-flash,Image_Matching,ground_image6.png,1679,14,7324.5,7324.5
gemini,gemini-2.5-flash,Image_Matching,ground_image16.png,1679,14,14421.9,14421.9
gemini,gemini-2.5-flash,Rotation_Match,puzzle_polarbear_direction_2.json,589,14,3574.0,3574.0
gemini,gemini-2.5-flash,Rotation_Match,puzzle_hungry_cat_direction_4.json,589,16,5515.9,5515.9
gemini,gemini-2.5-flash,Rotation_Match,puzzle_gold_direction_7.json,589,14,9762.9,9762.9
gemini,gemini-2.5-flash,Rotation_Match,puzzle_hungry_cat_direction_7.json,589,15,5036.3,5036.3
gemini,gemini-2.5-flash,Rotation_Match,puzzle_hungry_cat_direction_2.json,589,14,10189.5,10189.5
gemini,gemini-2.5-flash,Rotation_Match,puzzle_sad_cat_direction_8.json,589,16,5217.3,5217.3
gemini,gemini-2.5-flash,Rotation_Match,puzzle_polarbear_direction_8.json,589,16,3469.9,3469.9
gemini,gemini-2.5-flash,Rotation_Match,puzzle_sad_cat_direction_5.json,589,16,15674.3,15674.3
gemini,gemini-2.5-flash,Rotation_Match,puzzle_gold_direction_6.json,589,14,7880.1,7880.1
gemini,gemini-2.5-flash,Rotation_Match,puzzle_panda_direction_2.json,589,14,5179.2,5179.2
gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_2.json,589,14,10172.8,10172.8
gemini,gemini-2.5-flash,Rotation_Match,puzzle_panda_direction_1.json,589,14,12696.1,12696.1
gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_5.json,589,16,18393.4,18393.4
gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_1.json,589,15,7202.5,7202.5
gemini,gemini-2.5-flash,Rotation_Match,puzzle_hungry_cat_direction_6.json,589,15,7114.4,7114.4
