provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-pro,Click_Order,image3.jpg,1176,424,12592.4,12592.4
gemini,gemini-2.5-pro,Click_Order,image9.jpg,1176,59,9519.5,9519.5
gemini,gemini-2.5-pro,Click_Order,image4.jpg,1176,59,10132.5,10132.5
gemini,gemini-2.5-pro,Click_Order,image6.jpg,1176,381,12594.2,12594.2
gemini,gemini-2.5-pro,Click_Order,image7.jpg,1176,59,8904.3,8904.3
gemini,gemini-2.5-pro,Patch_Select,image6.jpg,853,266,10853.2,10853.2
gemini,gemini-2.5-pro,Patch_Select,image2.jpg,845,326,10560.8,10560.8
gemini,gemini-2.5-pro,Patch_Select,image5.jpg,845,187,10537.8,10537.8
gemini,gemini-2.5-pro,Patch_Select,image10.jpg,845,25,10472.0,10472.0
gemini,gemini-2.5-pro,Patch_Select,image3.jpg,845,201,10607.9,10607.9
gemini,gemini-2.5-pro,Dice_Count,dice9.jpg,963,467,14624.3,14624.3
gemini,gemini-2.5-pro,Dice_Count,dice8.jpg,963,790,15599.7,15599.7
gemini,gemini-2.5-pro,Dice_Count,dice5.jpg,963,3272,33393.1,33393.1
gemini,gemini-2.5-pro,Dice_Count,dice4.jpg,963,864,16862.5,16862.5
gemini,gemini-2.5-pro,Dice_Count,dice7.jpg,963,494,14542.7,14542.7
gemini,gemini-2.5-pro,Place_Dot,path3.jpg,951,173,9622.2,9622.2
gemini,gemini-2.5-pro,Place_Dot,path4.jpg,951,219,9828.4,9828.4
gemini,gemini-2.5-pro,Place_Dot,path10.jpg,951,239,10850.5,10850.5
gemini,gemini-2.5-pro,Place_Dot,path7.jpg,951,175,12693.8,12693.8
gemini,gemini-2.5-pro,Place_Dot,path1.jpg,951,125,10646.5,10646.5
