phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image11.png,1,1205,17,2799.8,2799.8,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image11.png,1,1205,17,,2799.8,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path27.png,1,621,32,2611.3,2611.3,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path27.png,2,615,32,2340.4,2340.4,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path12.png,3,618,32,6213.1,6213.1,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path15.png,4,622,32,2989.1,2989.1,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path8.png,5,617,45,3476.1,3476.1,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path15.png,6,622,32,2982.9,2982.9,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path2.png,7,621,51,3868.0,3868.0,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path29.png,8,621,32,2066.3,2066.3,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path27.png,9,619,32,2826.1,2826.1,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path26.png,10,620,30,2509.4,2509.4,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,,10,6196,350,,31882.7,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image3.jpg,1,463,47,1762.9,1762.9,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image9.jpg,2,575,34,1634.5,1634.5,
attempt,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image4.jpg,3,418,89,4643.8,4643.8,
