provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_20.json,3623,14,9197.3,9197.3
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_14.json,4139,14,10342.0,10342.0
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_5.json,3623,14,8223.5,8223.5
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_10.json,3623,14,7336.6,7336.6
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_17.json,4139,14,10237.4,10237.4
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_8.json,3623,14,8316.1,8316.1
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_7.json,3365,14,7960.9,7960.9
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_9.json,3623,14,8498.8,8498.8
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_18.json,4139,14,10339.9,10339.9
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_19.json,4139,14,10133.4,10133.4
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_6.json,3623,14,10337.3,10337.3
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_13.json,4139,15,9216.8,9216.8
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_16.json,4139,14,13205.9,13205.9
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_12.json,4139,15,9329.0,9329.0
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_11.json,4139,15,11965.4,11965.4
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_2.json,3623,15,8188.9,8188.9
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_3.json,3623,14,9484.6,9484.6
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_1.json,3623,15,7610.8,7610.8
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_4.json,3623,14,9724.5,9724.5
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_15.json,4139,14,10674.5,10674.5
gemini,gemini-2.5-flash,Misleading_Click,image9.png,491,29,2327.4,2327.4
gemini,gemini-2.5-flash,Misleading_Click,image8.png,491,29,4708.3,4708.3
gemini,gemini-2.5-flash,Misleading_Click,image5.png,0,0,2762.8,2762.8
gemini,gemini-2.5-flash,Misleading_Click,image4.png,491,29,4320.2,4320.2
gemini,gemini-2.5-flash,Misleading_Click,image7.png,491,29,3048.9,3048.9
