phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,gemini,gemini-2.5-flash,Connect_Icon,puzzle10.json,1,2308,56,2720.5,2720.5,
attempt,gemini,gemini-2.5-flash,Connect_Icon,puzzle5.json,2,2307,51,3316.6,3316.6,
summary,gemini,gemini-2.5-flash,Connect_Icon,puzzle5.json,2,4615,107,,6037.1,
attempt,gemini,gemini-2.5-flash,Place_Dot,path5.jpg,1,543,59,6867.7,6867.7,
attempt,gemini,gemini-2.5-flash,Place_Dot,path1.jpg,2,542,58,6386.4,6386.4,
attempt,gemini,gemini-2.5-flash,Place_Dot,path4.jpg,3,540,61,7436.9,7436.9,
attempt,gemini,gemini-2.5-flash,Place_Dot,path7.jpg,4,544,62,6863.8,6863.8,
attempt,gemini,gemini-2.5-flash,Place_Dot,path6.jpg,5,544,61,6852.7,6852.7,
attempt,gemini,gemini-2.5-flash,Place_Dot,path2.jpg,6,541,61,7379.2,7379.2,
attempt,gemini,gemini-2.5-flash,Place_Dot,path9.jpg,7,544,62,8423.0,8423.0,
attempt,gemini,gemini-2.5-flash,Place_Dot,path3.jpg,8,540,63,6729.7,6729.7,
attempt,gemini,gemini-2.5-flash,Place_Dot,path10.jpg,9,545,64,6003.0,6003.0,
attempt,gemini,gemini-2.5-flash,Place_Dot,path8.jpg,10,544,61,6834.7,6834.7,
summary,gemini,gemini-2.5-flash,Place_Dot,,10,5427,612,,69777.2,
attempt,gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_10.json,1,3630,64,9444.8,9444.8,
summary,gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_10.json,1,3630,64,,9444.8,
attempt,gemini,gemini-2.5-flash,Path_Finder,path1.JPG,1,568,57,4383.1,4383.1,
attempt,gemini,gemini-2.5-flash,Path_Finder,path4.JPG,2,571,72,3879.6,3879.6,
attempt,gemini,gemini-2.5-flash,Path_Finder,path10.JPG,3,569,57,8154.6,8154.6,
summary,gemini,gemini-2.5-flash,Path_Finder,path10.JPG,3,1708,186,,16417.4,
attempt,gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_2.json,1,789,50,3556.1,3556.1,
attempt,gemini,gemini-2.5-flash,Rotation_Match,puzzle_hungry_cat_direction_8.json,2,790,102,8461.3,8461.3,
attempt,gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_6.json,3,789,53,7155.1,7155.1,
attempt,gemini,gemini-2.5-flash,Rotation_Match,puzzle_cat_direction_4.json,4,790,60,6087.6,6087.6,
attempt,gemini,gemini-2.5-flash,Rotation_Match,puzzle_sad_cat_direction_4.json,5,791,213,8664.7,8664.7,
