provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_20.json,10766,18,10241.1,10241.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_14.json,12370,18,12172.7,12172.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_5.json,8078,18,7534.8,7534.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_10.json,8078,18,7811.8,7811.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_17.json,12370,18,9555.0,9555.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_8.json,8078,18,7288.9,7288.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_7.json,7476,18,6862.2,6862.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_9.json,8078,38,7866.9,7866.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_18.json,12370,18,13090.3,13090.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_19.json,12370,18,9942.1,9942.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_6.json,8078,36,8468.5,8468.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_13.json,12370,36,11000.1,11000.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_16.json,12370,18,9959.0,9959.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_12.json,12370,21,13086.1,13086.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_11.json,12370,18,10284.0,10284.0
