provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5.1,Geometry_Click,dingxiang_000005.jpg,353,264,5627.9,5628.5
openai,gpt-5.1,Geometry_Click,geetest_000001.jpg,353,155,3757.8,3758.4
openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,348,77,2963.8,2965.5
openai,gpt-5.1,Geometry_Click,geetest_000002.jpg,349,777,15255.4,15256.9
openai,gpt-5.1,Geometry_Click,vtt_000004.jpg,489,111,3787.8,3789.7
openai,gpt-5.1,Geometry_Click,dingxiang_000003.jpg,349,144,2956.0,2957.4
openai,gpt-5.1,Geometry_Click,geetest_000004.jpg,349,166,3282.5,3284.1
openai,gpt-5.1,Geometry_Click,vtt_000001.jpg,488,133,3172.9,3174.2
openai,gpt-5.1,Geometry_Click,vtt_000002.jpg,486,165,3274.4,3277.1
openai,gpt-5.1,Geometry_Click,geetest_000005.jpg,349,264,6458.1,6458.7
openai,gpt-5.1,Geometry_Click,vtt_000005.jpg,489,145,3440.7,3442.5
openai,gpt-5.1,Geometry_Click,dingxiang_000001.jpg,354,92,2482.1,2483.4
openai,gpt-5.1,Geometry_Click,dingxiang_000002.jpg,348,71,2354.5,2356.1
openai,gpt-5.1,Geometry_Click,geetest_000003.jpg,346,115,3168.7,3169.3
openai,gpt-5.1,Geometry_Click,vtt_000003.jpg,489,282,5324.7,5326.6
openai,gpt-5.1,Image_Matching,ground_image14.png,4233,1082,39409.8,39414.2
openai,gpt-5.1,Image_Matching,ground_image15.png,4233,1937,41169.2,41172.8
openai,gpt-5.1,Image_Matching,ground_image8.png,3953,172,15354.5,15358.4
openai,gpt-5.1,Image_Matching,ground_image11.png,3953,1403,40432.0,40447.5
openai,gpt-5.1,Image_Matching,ground_image19.png,4233,701,26003.9,26008.0
openai,gpt-5.1,Image_Matching,ground_image7.png,3953,96,16981.1,16995.0
openai,gpt-5.1,Image_Matching,ground_image12.png,4233,1123,34393.7,34405.1
openai,gpt-5.1,Image_Matching,ground_image5.png,3953,280,17996.7,18021.9
openai,gpt-5.1,Image_Matching,ground_image9.png,3953,199,20275.3,20279.6
openai,gpt-5.1,Image_Matching,ground_image10.png,4233,1278,31017.1,31019.9
openai,gpt-5.1,Image_Matching,ground_image2.png,3953,148,15044.5,15051.0
openai,gpt-5.1,Image_Matching,ground_image18.png,3953,181,22516.6,22521.5
openai,gpt-5.1,Image_Matching,ground_image20.png,4233,1056,32662.8,32668.2
openai,gpt-5.1,Image_Matching,ground_image3.png,3953,253,23032.9,23037.7
openai,gpt-5.1,Image_Matching,ground_image1.png,3953,354,27167.0,27172.5
openai,gpt-5.1,Image_Matching,ground_image6.png,3953,417,20641.3,20645.9
openai,gpt-5.1,Image_Matching,ground_image16.png,4233,960,32555.1,32562.9
openai,gpt-5.1,Image_Matching,ground_image17.png,3953,221,18017.5,18021.1
openai,gpt-5.1,Image_Matching,ground_image13.png,4233,355,21804.7,21809.0
openai,gpt-5.1,Path_Finder,path6.JPG,3895,761,20979.3,20990.1
openai,gpt-5.1,Path_Finder,path4.JPG,3895,999,21903.8,21916.6
openai,gpt-5.1,Path_Finder,path2.JPG,3895,392,14945.2,14946.3
openai,gpt-5.1,Path_Finder,path3.JPG,3895,1693,35377.0,35389.3
openai,gpt-5.1,Path_Finder,path10.JPG,3895,767,14775.0,14783.9
openai,gpt-5.1,Path_Finder,path8.JPG,3895,1138,19540.7,19549.8
openai,gpt-5.1,Path_Finder,path7.JPG,3895,1024,20376.8,20385.6
openai,gpt-5.1,Path_Finder,path5.JPG,3895,845,21696.4,21705.8
openai,gpt-5.1,Path_Finder,path1.JPG,3895,436,15173.8,15179.9
openai,gpt-5.1,Path_Finder,path9.JPG,3895,790,17271.2,17280.4
openai,gpt-5.1,Connect_Icon,puzzle14.json,5550,334,17506.6,17509.6
openai,gpt-5.1,Connect_Icon,puzzle10.json,1980,752,14231.8,14234.1
openai,gpt-5.1,Connect_Icon,puzzle12.json,3240,909,18014.1,18021.8
openai,gpt-5.1,Connect_Icon,puzzle4.json,2400,1477,27129.1,27134.0
openai,gpt-5.1,Connect_Icon,puzzle5.json,2400,697,15936.9,15940.5
openai,gpt-5.1,Connect_Icon,puzzle17.json,5550,662,24197.7,24202.1
openai,gpt-5.1,Connect_Icon,puzzle13.json,4920,615,18119.7,18122.0
openai,gpt-5.1,Connect_Icon,puzzle11.json,3199,608,14742.7,14746.4
openai,gpt-5.1,Connect_Icon,puzzle18.json,5550,407,17914.9,17917.7
openai,gpt-5.1,Connect_Icon,puzzle19.json,5550,576,20884.3,20888.3
openai,gpt-5.1,Connect_Icon,puzzle3.json,2820,548,12752.8,12756.7
openai,gpt-5.1,Connect_Icon,puzzle6.json,2400,3265,69316.9,69320.1
openai,gpt-5.1,Connect_Icon,puzzle16.json,5550,310,12230.0,12232.3
openai,gpt-5.1,Connect_Icon,puzzle2.json,1980,3601,54995.0,54996.5
openai,gpt-5.1,Connect_Icon,puzzle20.json,5550,453,15439.7,15443.8
openai,gpt-5.1,Connect_Icon,puzzle1.json,1840,678,18169.4,18171.2
openai,gpt-5.1,Connect_Icon,puzzle15.json,5550,442,23577.2,23581.1
openai,gpt-5.1,Connect_Icon,puzzle7.json,2400,2338,71284.2,71287.1
openai,gpt-5.1,Connect_Icon,puzzle8.json,1980,874,18342.5,18343.9
openai,gpt-5.1,Connect_Icon,puzzle9.json,1980,887,17293.0,17295.7
openai,gpt-5.1,Dart_Count,dart_puzzle_6.json,8311,785,37252.9,37257.5
openai,gpt-5.1,Dart_Count,dart_puzzle_10.json,8311,876,36069.7,36074.8
openai,gpt-5.1,Dart_Count,dart_puzzle_19.json,9571,843,41259.0,41266.2
openai,gpt-5.1,Dart_Count,dart_puzzle_14.json,9571,2027,61994.9,62006.4
openai,gpt-5.1,Dart_Count,dart_puzzle_15.json,9571,449,41685.6,41695.3
openai,gpt-5.1,Dart_Count,dart_puzzle_16.json,9571,383,29199.9,29209.3
openai,gpt-5.1,Dart_Count,dart_puzzle_4.json,8311,976,35728.0,35734.0
openai,gpt-5.1,Dart_Count,dart_puzzle_17.json,9571,584,52117.0,52127.8
openai,gpt-5.1,Dart_Count,dart_puzzle_8.json,8311,716,37671.3,37675.6
openai,gpt-5.1,Dart_Count,dart_puzzle_20.json,8311,1091,44323.6,44329.3
openai,gpt-5.1,Dart_Count,dart_puzzle_11.json,9571,1460,72252.3,72258.5
openai,gpt-5.1,Dart_Count,dart_puzzle_3.json,8311,969,40587.7,40592.2
openai,gpt-5.1,Dart_Count,dart_puzzle_9.json,8311,883,40956.8,40960.5
openai,gpt-5.1,Dart_Count,dart_puzzle_2.json,8311,614,30851.3,30862.4
openai,gpt-5.1,Dart_Count,dart_puzzle_13.json,9571,704,38447.5,38459.7
openai,gpt-5.1,Dart_Count,dart_puzzle_12.json,9571,1343,52844.6,52849.5
openai,gpt-5.1,Dart_Count,dart_puzzle_1.json,8311,888,39814.2,39821.2
openai,gpt-5.1,Dart_Count,dart_puzzle_5.json,8311,1064,51913.4,51918.0
openai,gpt-5.1,Dart_Count,dart_puzzle_7.json,7681,566,28871.9,28875.7
openai,gpt-5.1,Dart_Count,dart_puzzle_18.json,9571,805,38389.4,38397.4
openai,gpt-5.1,Coordinates,coordinate_sample13.png,5823,2639,67062.7,67069.6
openai,gpt-5.1,Coordinates,coordinate_sample3.png,3933,1448,40028.2,40038.2
openai,gpt-5.1,Coordinates,coordinate_sample14.png,5543,2536,58978.3,58981.6
openai,gpt-5.1,Coordinates,coordinate_sample2.png,3933,409,11356.6,11366.0
openai,gpt-5.1,Coordinates,coordinate_sample17.png,5543,1446,32252.8,32255.3
openai,gpt-5.1,Coordinates,coordinate_sample4.png,5473,884,29144.8,29155.6
openai,gpt-5.1,Coordinates,coordinate_sample16.png,5543,1613,44975.4,44979.8
openai,gpt-5.1,Coordinates,coordinate_sample9.png,5473,2032,44321.3,44341.4
openai,gpt-5.1,Coordinates,coordinate_sample11.png,5193,1673,39206.7,39215.3
openai,gpt-5.1,Coordinates,coordinate_sample12.png,6453,1630,37067.0,37071.7
openai,gpt-5.1,Coordinates,coordinate_sample8.png,5473,1383,55080.4,55088.3
openai,gpt-5.1,Coordinates,coordinate_sample6.png,5193,1147,28598.9,28607.3
openai,gpt-5.1,Coordinates,coordinate_sample7.png,5473,1299,47563.8,47577.0
openai,gpt-5.1,Coordinates,coordinate_sample18.png,5543,2540,91743.3,91749.3
openai,gpt-5.1,Coordinates,coordinate_sample1.png,4213,1080,31658.9,31673.5
openai,gpt-5.1,Coordinates,coordinate_sample15.png,5543,2114,67020.3,67025.8
openai,gpt-5.1,Coordinates,coordinate_sample5.png,5473,569,21539.6,21548.8
openai,gpt-5.1,Coordinates,coordinate_sample10.png,5473,1198,53920.2,53931.6
openai,gpt-5.1,Misleading_Click,image6.png,767,102,4809.1,4811.1
openai,gpt-5.1,Misleading_Click,image3.png,767,130,6659.2,6665.1
openai,gpt-5.1,Misleading_Click,image1.png,767,159,10796.7,10804.4
openai,gpt-5.1,Misleading_Click,image9.png,767,156,7306.7,7309.7
openai,gpt-5.1,Misleading_Click,image4.png,767,140,10269.8,10276.2
openai,gpt-5.1,Misleading_Click,image8.png,767,224,10506.5,10511.5
openai,gpt-5.1,Misleading_Click,image7.png,767,279,11329.1,11336.8
openai,gpt-5.1,Misleading_Click,image2.png,767,106,5591.1,5594.5
openai,gpt-5.1,Misleading_Click,image10.png,767,96,5316.3,5320.5
openai,gpt-5.1,Misleading_Click,image5.png,767,145,13978.8,13983.5
openai,gpt-5.1,Object_Match,example18.png,3936,1039,42276.5,42295.5
openai,gpt-5.1,Object_Match,example8.png,3936,587,32966.9,32971.8
openai,gpt-5.1,Object_Match,example15.png,3936,610,29996.5,30002.1
openai,gpt-5.1,Object_Match,example11.png,3936,256,24162.9,24167.4
openai,gpt-5.1,Object_Match,example1.png,3936,283,23278.8,23311.8
openai,gpt-5.1,Object_Match,example4.png,3936,471,36918.7,36936.0
openai,gpt-5.1,Object_Match,example17.png,3936,1835,65328.0,65333.3
openai,gpt-5.1,Object_Match,example6.png,3936,353,25860.7,25888.6
openai,gpt-5.1,Object_Match,example19.png,3936,643,36731.2,36735.8
openai,gpt-5.1,Object_Match,example5.png,3936,629,36123.9,36128.7
