type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Misleading_Click,image9.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 300, ""y"": 300}}","{""answer_type"": ""single_point"", ""point"": {""x"": 300, ""y"": 300}}","{""avoid_area"": {""x"": 250, ""y"": 0, ""width"": 230, ""height"": 350}, ""image_size"": [568, 588]}",GT 坐标缺失，无法分析。,,354,29
Misleading_Click,image5.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 450, ""y"": 450}}","{""answer_type"": ""single_point"", ""point"": {""x"": 450, ""y"": 450}}","{""avoid_area"": {""x"": 160, ""y"": 0, ""width"": 335, ""height"": 500}, ""image_size"": [698, 708]}",GT 坐标缺失，无法分析。,,354,29
Misleading_Click,image10.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 256, ""y"": 300}}","{""answer_type"": ""single_point"", ""point"": {""x"": 256, ""y"": 300}}","{""avoid_area"": {""x"": 230, ""y"": 0, ""width"": 230, ""height"": 350}, ""image_size"": [542, 594]}",GT 坐标缺失，无法分析。,,354,29
Misleading_Click,image2.png,"{""answer_type"": ""single_point"", ""point"": {""x"": 750, ""y"": 200}}","{""answer_type"": ""single_point"", ""point"": {""x"": 750, ""y"": 200}}","{""avoid_area"": {""x"": 0, ""y"": 0, ""width"": 220, ""height"": 340}, ""image_size"": [628, 806]}",GT 坐标缺失，无法分析。,,354,29
Coordinates,coordinate_sample5.png,"{""answer_type"": ""classify"", ""index"": 4}","{""answer_type"": ""classify"", ""index"": 4}","{""correct_index"": 3}",预测 index=4，GT=3，需检查模型在候选中选择的匹配项是否正确。,,2174,14
Coordinates,coordinate_sample8.png,"{""answer_type"": ""classify"", ""index"": 3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 2}",预测 index=3，GT=2，需检查模型在候选中选择的匹配项是否正确。,,2174,14
Coordinates,coordinate_sample7.png,"{""answer_type"": ""classify"", ""index"": 1}","{""answer_type"": ""classify"", ""index"": 1}","{""correct_index"": 0}",预测 index=1，GT=0，需检查模型在候选中选择的匹配项是否正确。,,2174,14
Coordinates,coordinate_sample9.png,"{""answer_type"": ""classify"", ""index"": 2}","{""answer_type"": ""classify"", ""index"": 2}","{""correct_index"": 1}",预测 index=2，GT=1，需检查模型在候选中选择的匹配项是否正确。,,2174,14
Connect_Icon,puzzle9.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 1}",预测 index=0，GT=1，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Connect_Icon,puzzle8.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 6}",预测 index=0，GT=6，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Connect_Icon,puzzle5.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 2}",预测 index=0，GT=2，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Connect_Icon,puzzle4.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 1}",预测 index=0，GT=1，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Connect_Icon,puzzle2.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 4}",预测 index=0，GT=4，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Connect_Icon,puzzle3.json,"{""answer_type"": ""classify"", ""index"": 0}","{""answer_type"": ""classify"", ""index"": 0}","{""correct_index"": 4}",预测 index=0，GT=4，需检查模型在候选中选择的匹配项是否正确。,,2182,14
Patch_Select,image4.jpg,"{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""grid_size"": [5, 5], ""correct_patches"": [3, 6, 7, 8, 12, 13, 14, 18, 19]}","缺失 5 个正确索引: [3, 6, 14, 18, 19]",,420,27
Patch_Select,image10.jpg,"{""answer_type"": ""multi_select"", ""indices"": [21, 22, 23, 24]}","{""answer_type"": ""multi_select"", ""indices"": [21, 22, 23, 24]}","{""grid_size"": [5, 5], ""correct_patches"": [17, 18, 21, 22, 23]}","缺失 2 个正确索引: [17, 18]；多选 1 个错误索引: [24]",,420,29
Patch_Select,image7.jpg,"{""answer_type"": ""multi_select"", ""indices"": [12, 13, 17, 18]}","{""answer_type"": ""multi_select"", ""indices"": [12, 13, 17, 18]}","{""grid_size"": [5, 5], ""correct_patches"": [12, 13, 17]}",多选 1 个错误索引: [18],,420,29
Patch_Select,image1.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13]}","多选 7 个错误索引: [4, 9, 10, 14, 15, 16, 17]",,420,75
Patch_Select,image6.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18]}","多选 4 个错误索引: [10, 15, 17, 19]",,428,83
Patch_Select,image5.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 5, 6, 7, 10]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 5, 6, 7, 10]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 5, 6]}","多选 3 个错误索引: [2, 7, 10]",,420,35
Patch_Select,image2.jpg,"{""answer_type"": ""multi_select"", ""indices"": [5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17]}","{""answer_type"": ""multi_select"", ""indices"": [5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17]}","{""grid_size"": [5, 5], ""correct_patches"": [5, 6, 7, 10, 11, 12, 15, 16]}","多选 3 个错误索引: [8, 13, 17]",,420,53
