type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Place_Dot,path3.png,"{""answer_type"":""single_point"",""point"":{""x"":330,""y"":545}}","{""answer_type"": ""single_point"", ""point"": {""x"": 330, ""y"": 545}}","{""target_position"": {""x"": 305.0, ""y"": 520.0}, ""tolerance"": 20.0}","预测坐标 (330.0,545.0) 距离 GT (305.0,520.0) 为 35.4px，超过容差 20.0px，说明定位偏离目标区域。",,948,919
Place_Dot,path9.png,"{""answer_type"":""single_point"",""point"":{""x"":295,""y"":210}}","{""answer_type"": ""single_point"", ""point"": {""x"": 295, ""y"": 210}}","{""target_position"": {""x"": 420.0, ""y"": 370.0}, ""tolerance"": 20.0}","预测坐标 (295.0,210.0) 距离 GT (420.0,370.0) 为 203.0px，超过容差 20.0px，说明定位偏离目标区域。",,948,791
Place_Dot,path4.png,"{""answer_type"":""single_point"",""point"":{""x"":325,""y"":533}}","{""answer_type"": ""single_point"", ""point"": {""x"": 325, ""y"": 533}}","{""target_position"": {""x"": 300.0, ""y"": 512.0}, ""tolerance"": 25.0}","预测坐标 (325.0,533.0) 距离 GT (300.0,512.0) 为 32.6px，超过容差 25.0px，说明定位偏离目标区域。",,948,1111
Place_Dot,path7.png,"{""answer_type"":""single_point"",""point"":{""x"":262,""y"":184}}","{""answer_type"": ""single_point"", ""point"": {""x"": 262, ""y"": 184}}","{""target_position"": {""x"": 515.0, ""y"": 360.0}, ""tolerance"": 20.0}","预测坐标 (262.0,184.0) 距离 GT (515.0,360.0) 为 308.2px，超过容差 20.0px，说明定位偏离目标区域。",,948,1303
Place_Dot,path5.png,"{""answer_type"":""single_point"",""point"":{""x"":300,""y"":525}}","{""answer_type"": ""single_point"", ""point"": {""x"": 300, ""y"": 525}}","{""target_position"": {""x"": 265.0, ""y"": 510.0}, ""tolerance"": 20.0}","预测坐标 (300.0,525.0) 距离 GT (265.0,510.0) 为 38.1px，超过容差 20.0px，说明定位偏离目标区域。",,948,983
Place_Dot,path1.png,"{""answer_type"":""single_point"",""point"":{""x"":344,""y"":551}}","{""answer_type"": ""single_point"", ""point"": {""x"": 344, ""y"": 551}}","{""target_position"": {""x"": 190.0, ""y"": 210.0}, ""tolerance"": 25.0}","预测坐标 (344.0,551.0) 距离 GT (190.0,210.0) 为 374.2px，超过容差 25.0px，说明定位偏离目标区域。",,948,1239
Place_Dot,path2.png,"{""answer_type"":""single_point"",""point"":{""x"":354,""y"":268}}","{""answer_type"": ""single_point"", ""point"": {""x"": 354, ""y"": 268}}","{""target_position"": {""x"": 265.0, ""y"": 445.0}, ""tolerance"": 15.0}","预测坐标 (354.0,268.0) 距离 GT (265.0,445.0) 为 198.1px，超过容差 15.0px，说明定位偏离目标区域。",,948,1431
Place_Dot,path8.png,"{""answer_type"":""single_point"",""point"":{""x"":280,""y"":235}}","{""answer_type"": ""single_point"", ""point"": {""x"": 280, ""y"": 235}}","{""target_position"": {""x"": 350.0, ""y"": 470.0}, ""tolerance"": 20.0}","预测坐标 (280.0,235.0) 距离 GT (350.0,470.0) 为 245.2px，超过容差 20.0px，说明定位偏离目标区域。",,948,1047
Dart_Count,dart_puzzle_9.json,"{""answer_type"":""classify"",""index"":9}","{""answer_type"": ""classify"", ""index"": 9}","{""correct_index"": 6}",预测 index=9，GT=6，需检查模型在候选中选择的匹配项是否正确。,,8413,4177
Dart_Count,dart_puzzle_8.json,"{""answer_type"":""classify"",""index"":3}","{""answer_type"": ""classify"", ""index"": 3}","{""correct_index"": 5}",预测 index=3，GT=5，需检查模型在候选中选择的匹配项是否正确。,,8413,3537
