provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5-chat-latest,Patch_Select,image4.jpg,1491,29,5940.9,5941.1
openai,gpt-5-chat-latest,Patch_Select,image6.jpg,1497,53,2521.3,2522.0
openai,gpt-5-chat-latest,Patch_Select,image5.jpg,1492,23,2909.0,2909.3
openai,gpt-5-chat-latest,Patch_Select,image7.jpg,1911,23,5001.2,5001.5
openai,gpt-5-chat-latest,Patch_Select,image8.jpg,1912,23,3068.4,3068.8
openai,gpt-5-chat-latest,Patch_Select,image9.jpg,1911,20,3300.2,3300.9
openai,gpt-5-chat-latest,Patch_Select,image3.jpg,1492,35,4067.2,4067.5
openai,gpt-5-chat-latest,Patch_Select,image10.jpg,1491,23,3489.4,3489.7
openai,gpt-5-chat-latest,Dice_Count,dice7.png,2804,13,6437.8,6439.5
openai,gpt-5-chat-latest,Dice_Count,dice8.png,3084,13,7009.1,7010.8
openai,gpt-5-chat-latest,Dice_Count,dice6.png,2804,13,4555.9,4557.0
openai,gpt-5-chat-latest,Dice_Count,dice3.png,3084,13,5417.5,5428.6
openai,gpt-5-chat-latest,Dice_Count,dice10.png,3084,13,5617.7,5629.4
openai,gpt-5-chat-latest,Dice_Count,dice5.png,3084,13,10941.8,10952.9
openai,gpt-5-chat-latest,Dice_Count,dice9.png,3084,13,7560.9,7573.3
openai,gpt-5-chat-latest,Dice_Count,dice4.png,3084,13,19970.5,19978.8
openai,gpt-5-chat-latest,Click_Order,image4.png,2647,60,2338.5,2342.2
openai,gpt-5-chat-latest,Click_Order,image5.png,2647,60,2247.3,2250.0
openai,gpt-5-chat-latest,Click_Order,image3.png,2647,60,3158.6,3160.8
openai,gpt-5-chat-latest,Click_Order,image9.png,2647,60,4717.1,4720.9
openai,gpt-5-chat-latest,Click_Order,image6.png,2647,60,2042.3,2045.1
openai,gpt-5-chat-latest,Click_Order,image7.png,2647,60,2764.8,2766.7
openai,gpt-5-chat-latest,Click_Order,image10.png,2647,60,2246.3,2249.2
openai,gpt-5-chat-latest,Click_Order,image8.png,2647,60,3066.5,3069.3
openai,gpt-5-chat-latest,Place_Dot,path4.png,2253,23,2385.1,2394.3
openai,gpt-5-chat-latest,Place_Dot,path10.png,2253,23,2105.8,2108.8
openai,gpt-5-chat-latest,Place_Dot,path7.png,2253,23,3168.9,3171.6
openai,gpt-5-chat-latest,Place_Dot,path6.png,2253,23,2713.5,2716.6
openai,gpt-5-chat-latest,Place_Dot,path9.png,2253,23,2497.5,2500.9
openai,gpt-5-chat-latest,Place_Dot,path3.png,2253,23,3281.4,3285.3
openai,gpt-5-chat-latest,Place_Dot,path8.png,2253,23,3056.5,3060.8
openai,gpt-5-chat-latest,Place_Dot,path5.png,2253,23,2245.3,2249.0
