provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5,Select_Animal,image25.png,794,145,8205.1,8208.2
openai,gpt-5,Select_Animal,image15.png,795,209,8673.3,8677.0
openai,gpt-5,Select_Animal,image4.png,794,145,10913.2,10919.1
openai,gpt-5,Select_Animal,image1.png,794,145,7820.8,7825.3
openai,gpt-5,Select_Animal,image3.png,795,209,11831.5,11838.4
openai,gpt-5,Select_Animal,image19.png,794,209,9063.1,9068.4
openai,gpt-5,Select_Animal,image2.png,794,209,9493.4,9501.1
openai,gpt-5,Select_Animal,image22.png,794,145,12592.5,12596.5
openai,gpt-5,Select_Animal,image26.png,794,209,8589.6,8595.0
openai,gpt-5,Select_Animal,image28.png,794,209,8899.4,8904.7
openai,gpt-5,Select_Animal,image12.png,795,145,8190.9,8195.5
openai,gpt-5,Select_Animal,image8.png,794,273,9013.8,9021.1
openai,gpt-5,Select_Animal,image27.png,794,145,10434.0,10437.4
openai,gpt-5,Select_Animal,image18.png,794,145,7824.0,7835.6
openai,gpt-5,Select_Animal,image17.png,794,209,10641.5,10644.7
openai,gpt-5,Select_Animal,image6.png,794,145,8553.2,8564.5
openai,gpt-5,Select_Animal,image11.png,743,465,18231.4,18232.9
openai,gpt-5,Select_Animal,image10.png,794,209,9328.3,9332.5
openai,gpt-5,Select_Animal,image30.png,794,145,7350.9,7353.1
openai,gpt-5,Select_Animal,image13.png,794,145,7688.7,7691.0
openai,gpt-5,Place_Dot,path30.png,775,663,17373.2,17375.8
openai,gpt-5,Place_Dot,path5.png,775,663,15965.6,15968.9
openai,gpt-5,Place_Dot,path3.png,775,727,17662.9,17666.1
openai,gpt-5,Place_Dot,path6.png,775,919,23065.9,23069.1
openai,gpt-5,Place_Dot,path23.png,775,343,10970.7,10973.5
openai,gpt-5,Place_Dot,path4.png,775,791,24983.1,24986.0
openai,gpt-5,Place_Dot,path1.png,775,727,18604.6,18608.0
openai,gpt-5,Place_Dot,path17.png,775,407,16519.0,16521.4
openai,gpt-5,Place_Dot,path16.png,775,599,14226.5,14229.3
openai,gpt-5,Place_Dot,path8.png,775,663,15385.0,15386.0
openai,gpt-5,Place_Dot,path32.png,775,407,16323.8,16327.2
openai,gpt-5,Place_Dot,path18.png,775,407,11543.1,11545.1
openai,gpt-5,Place_Dot,path15.png,775,343,10081.5,10082.7
openai,gpt-5,Place_Dot,path22.png,775,471,15652.9,15653.8
openai,gpt-5,Place_Dot,path19.png,775,791,20627.2,20629.9
openai,gpt-5,Place_Dot,path25.png,775,535,13687.2,13689.2
openai,gpt-5,Place_Dot,path2.png,775,1623,39933.4,39934.4
openai,gpt-5,Place_Dot,path31.png,775,599,20063.1,20067.7
openai,gpt-5,Place_Dot,path14.png,775,535,15904.3,15908.3
openai,gpt-5,Place_Dot,path9.png,775,1047,28916.4,28919.9
openai,gpt-5,Patch_Select,image4.jpg,410,2591,52804.5,52806.4
openai,gpt-5,Patch_Select,image1.jpg,830,2657,79290.9,79293.1
openai,gpt-5,Patch_Select,image9.jpg,830,1301,35240.5,35242.7
openai,gpt-5,Patch_Select,image10.jpg,410,2457,66886.6,66888.9
openai,gpt-5,Patch_Select,image6.jpg,416,3315,95718.4,95719.4
openai,gpt-5,Patch_Select,image3.jpg,411,1173,27854.6,27855.2
openai,gpt-5,Patch_Select,image7.jpg,830,1175,31737.5,31740.7
openai,gpt-5,Patch_Select,image8.jpg,831,3027,68626.4,68628.0
openai,gpt-5,Patch_Select,image5.jpg,411,1363,27284.3,27286.9
openai,gpt-5,Patch_Select,image2.jpg,410,1765,47878.1,47880.2
openai,gpt-5,Path_Finder,path4.JPG,3895,1489,45529.7,45542.9
