kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image11.png,1,2799.8,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,,10,31882.7,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,,10,109068.4,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path7.JPG,1,11156.8,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,,10,74501.1,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image1.png,1,5057.8,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image19.png,7,21061.3,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle15.json,3,13768.6,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,,10,96820.8,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,,10,77788.9,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dart_Count,dart_puzzle_3.json,4,83267.3,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Rotation_Match,,10,41957.2,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Coordinates,coordinate_sample13.png,3,95961.9,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Image_Matching,ground_image19.png,8,272236.6,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Image_Recognition,,10,31152.0,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Geometry_Click,,10,72544.6,0,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Object_Match,example12.png,10,404793.4,1,
summary,fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Bingo,,10,390249.4,0,
