kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,openai,gpt-5.1,Path_Finder,path7.JPG,1,5083.3,1,
summary,openai,gpt-5.1,Dart_Count,,10,229171.1,0,
summary,openai,gpt-5.1,Click_Order,image7.png,10,27796.1,1,
summary,openai,gpt-5.1,Unusual_Detection,unusual16.png,3,13404.8,1,
summary,openai,gpt-5.1,Image_Recognition,images19,1,2359.6,1,
summary,openai,gpt-5.1,Misleading_Click,image4.png,1,3283.9,1,
summary,openai,gpt-5.1,Coordinates,coordinate_sample18.png,7,52591.4,1,
summary,openai,gpt-5.1,Object_Match,example12.png,2,33360.8,1,
summary,openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_8.json,6,33080.6,1,
summary,openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,2,3293.6,1,
summary,openai,gpt-5.1,Bingo,,10,42861.3,0,
summary,openai,gpt-5.1,Place_Dot,,10,27559.9,0,
summary,openai,gpt-5.1,Image_Matching,,10,176065.3,0,
summary,openai,gpt-5.1,Dice_Count,dice7.png,8,37446.5,1,
summary,openai,gpt-5.1,Patch_Select,,10,23460.4,0,
summary,openai,gpt-5.1,Connect_Icon,puzzle10.json,2,16344.1,1,
summary,openai,gpt-5.1,Select_Animal,image9.png,1,4444.1,1,
summary,openai,gpt-5.1,Pick_Area,image4.png,1,1382.3,1,
