provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5,Place_Dot,path3.png,775,727,10590.9,10594.0
openai,gpt-5,Place_Dot,path9.png,775,1175,14423.0,14424.5
openai,gpt-5,Place_Dot,path4.png,775,599,7926.6,7929.9
openai,gpt-5,Place_Dot,path6.png,775,1687,21437.6,21440.8
openai,gpt-5,Place_Dot,path7.png,775,791,11474.7,11477.5
openai,gpt-5,Place_Dot,path5.png,775,471,9306.0,9309.1
openai,gpt-5,Place_Dot,path10.png,775,727,12196.6,12199.7
openai,gpt-5,Place_Dot,path1.png,775,727,11359.1,11362.5
openai,gpt-5,Place_Dot,path2.png,775,1687,21025.1,21028.5
openai,gpt-5,Place_Dot,path8.png,775,919,12952.8,12955.2
openai,gpt-5,Select_Animal,image6.png,743,401,7797.9,7807.4
openai,gpt-5,Select_Animal,image2.png,743,337,9485.8,9494.6
openai,gpt-5,Select_Animal,image5.png,743,401,8490.3,8500.0
openai,gpt-5,Select_Animal,image10.png,743,337,8896.3,8906.7
openai,gpt-5,Select_Animal,image3.png,744,273,6225.4,6231.6
openai,gpt-5,Select_Animal,image8.png,743,273,6122.6,6130.6
openai,gpt-5,Select_Animal,image7.png,743,337,8512.4,8522.6
openai,gpt-5,Select_Animal,image9.png,744,273,6814.9,6825.1
openai,gpt-5,Select_Animal,image1.png,743,465,10366.2,10375.6
openai,gpt-5,Select_Animal,image4.png,743,273,8694.1,8701.3
openai,gpt-5,Dart_Count,dart_puzzle_9.json,8311,4241,70733.0,70770.8
openai,gpt-5,Dart_Count,dart_puzzle_8.json,8311,1937,42041.6,42050.0
openai,gpt-5,Dart_Count,dart_puzzle_5.json,8311,977,33285.3,33291.5
openai,gpt-5,Dart_Count,dart_puzzle_4.json,8311,2385,45159.0,45167.8
openai,gpt-5,Dart_Count,dart_puzzle_7.json,7681,3601,79208.9,79216.1
openai,gpt-5,Dart_Count,dart_puzzle_1.json,8311,3729,87911.8,87921.5
openai,gpt-5,Dart_Count,dart_puzzle_6.json,8311,2001,46565.3,46571.1
openai,gpt-5,Dart_Count,dart_puzzle_10.json,8311,2257,46281.8,46291.0
openai,gpt-5,Dart_Count,dart_puzzle_2.json,8311,1873,38070.1,38077.1
openai,gpt-5,Dart_Count,dart_puzzle_3.json,8311,1873,47482.4,47490.2
openai,gpt-5,Image_Matching,ground_image1.png,3894,657,36861.6,36888.3
openai,gpt-5,Image_Matching,ground_image3.png,3894,849,35821.6,35834.8
openai,gpt-5,Image_Matching,ground_image10.png,4524,1169,39325.8,39346.7
openai,gpt-5,Image_Matching,ground_image7.png,3894,657,35249.5,35272.5
openai,gpt-5,Image_Matching,ground_image4.png,4524,593,27217.8,27222.4
openai,gpt-5,Image_Matching,ground_image6.png,3894,657,30040.4,30044.5
openai,gpt-5,Image_Matching,ground_image5.png,3894,465,29856.4,29860.9
openai,gpt-5,Image_Matching,ground_image2.png,3894,1041,37407.2,37413.0
openai,gpt-5,Image_Matching,ground_image8.png,3894,465,25633.8,25637.4
openai,gpt-5,Image_Matching,ground_image9.png,3894,401,27012.8,27016.7
openai,gpt-5,Connect_Icon,puzzle10.json,1939,849,15502.8,15512.4
openai,gpt-5,Connect_Icon,puzzle1.json,1799,1233,45315.5,45317.3
