provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Misleading_Click,image3.png,354,29,2553.0,2553.0
gemini,gemini-2.5-flash,Misleading_Click,image9.png,354,29,2015.9,2015.9
gemini,gemini-2.5-flash,Misleading_Click,image4.png,354,29,4066.3,4066.3
gemini,gemini-2.5-flash,Misleading_Click,image6.png,354,29,2512.9,2512.9
gemini,gemini-2.5-flash,Misleading_Click,image7.png,354,29,3935.5,3935.5
gemini,gemini-2.5-flash,Misleading_Click,image5.png,354,29,4282.5,4282.5
gemini,gemini-2.5-flash,Misleading_Click,image10.png,354,29,2069.8,2069.8
gemini,gemini-2.5-flash,Misleading_Click,image1.png,354,29,3142.9,3142.9
gemini,gemini-2.5-flash,Misleading_Click,image2.png,354,29,12469.4,12469.4
gemini,gemini-2.5-flash,Misleading_Click,image8.png,354,29,2003.8,2003.8
gemini,gemini-2.5-flash,Coordinates,coordinate_sample6.png,2174,14,3384.0,3384.0
gemini,gemini-2.5-flash,Coordinates,coordinate_sample2.png,1658,14,2983.3,2983.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample5.png,2174,14,5733.9,5733.9
gemini,gemini-2.5-flash,Coordinates,coordinate_sample10.png,2174,14,4866.3,4866.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample3.png,1658,14,3310.0,3310.0
gemini,gemini-2.5-flash,Coordinates,coordinate_sample8.png,2174,14,4579.3,4579.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample7.png,2174,14,4704.4,4704.4
gemini,gemini-2.5-flash,Coordinates,coordinate_sample9.png,2174,14,5104.5,5104.5
gemini,gemini-2.5-flash,Coordinates,coordinate_sample1.png,1658,14,4309.3,4309.3
gemini,gemini-2.5-flash,Coordinates,coordinate_sample4.png,2174,14,4090.9,4090.9
gemini,gemini-2.5-flash,Connect_Icon,puzzle9.json,2182,14,2663.4,2663.4
gemini,gemini-2.5-flash,Connect_Icon,puzzle8.json,2182,14,2346.3,2346.3
gemini,gemini-2.5-flash,Connect_Icon,puzzle5.json,2182,14,3699.2,3699.2
gemini,gemini-2.5-flash,Connect_Icon,puzzle4.json,2182,14,2537.5,2537.5
gemini,gemini-2.5-flash,Connect_Icon,puzzle7.json,2182,14,6612.9,6612.9
gemini,gemini-2.5-flash,Connect_Icon,puzzle1.json,2182,14,2661.3,2661.3
gemini,gemini-2.5-flash,Connect_Icon,puzzle6.json,2182,14,2981.4,2981.4
