provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5,Geometry_Click,dingxiang_000005.jpg,0,0,1443.9,1444.0
openai,gpt-5,Geometry_Click,geetest_000001.jpg,0,0,1484.1,1484.2
openai,gpt-5,Geometry_Click,dingxiang_000004.jpg,0,0,1417.9,1417.9
openai,gpt-5,Geometry_Click,geetest_000002.jpg,0,0,1206.1,1206.2
openai,gpt-5,Geometry_Click,vtt_000004.jpg,0,0,1194.8,1194.8
openai,gpt-5,Geometry_Click,dingxiang_000003.jpg,0,0,1385.9,1386.0
openai,gpt-5,Geometry_Click,geetest_000004.jpg,0,0,1394.9,1394.9
openai,gpt-5,Geometry_Click,vtt_000001.jpg,0,0,1301.2,1301.3
openai,gpt-5,Geometry_Click,vtt_000002.jpg,0,0,1405.7,1405.8
openai,gpt-5,Geometry_Click,geetest_000005.jpg,0,0,1382.6,1382.6
openai,gpt-5,Geometry_Click,vtt_000005.jpg,0,0,1311.4,1311.5
openai,gpt-5,Geometry_Click,dingxiang_000001.jpg,0,0,1212.7,1212.7
openai,gpt-5,Geometry_Click,dingxiang_000002.jpg,0,0,1287.3,1287.3
openai,gpt-5,Geometry_Click,geetest_000003.jpg,0,0,1406.3,1406.4
openai,gpt-5,Geometry_Click,vtt_000003.jpg,0,0,1272.5,1272.6
openai,gpt-5,Image_Matching,ground_image14.png,0,0,1412.1,1412.3
openai,gpt-5,Image_Matching,ground_image15.png,0,0,1506.5,1506.6
openai,gpt-5,Image_Matching,ground_image8.png,0,0,1551.4,1551.7
openai,gpt-5,Image_Matching,ground_image11.png,0,0,1414.3,1414.6
openai,gpt-5,Image_Matching,ground_image19.png,0,0,1415.2,1415.4
openai,gpt-5,Image_Matching,ground_image7.png,0,0,1672.5,1672.7
openai,gpt-5,Image_Matching,ground_image12.png,0,0,1428.9,1429.1
openai,gpt-5,Image_Matching,ground_image5.png,0,0,1646.8,1646.9
openai,gpt-5,Image_Matching,ground_image9.png,0,0,1534.9,1535.0
openai,gpt-5,Image_Matching,ground_image10.png,0,0,1549.6,1549.7
openai,gpt-5,Image_Matching,ground_image2.png,0,0,1429.0,1429.2
openai,gpt-5,Image_Matching,ground_image18.png,0,0,1437.8,1438.0
openai,gpt-5,Image_Matching,ground_image20.png,0,0,1551.0,1551.1
openai,gpt-5,Image_Matching,ground_image3.png,0,0,1394.3,1394.5
openai,gpt-5,Image_Matching,ground_image1.png,0,0,1535.8,1535.9
openai,gpt-5,Image_Matching,ground_image6.png,0,0,1449.7,1449.9
