type,puzzle_id,raw_response,parsed,ground_truth,error_description,reasoning,tokens_in,tokens_out
Patch_Select,image4.jpg,"{""answer_type"": ""multi_select"", ""indices"": [4, 5, 6, 8, 9, 10]}","{""answer_type"": ""multi_select"", ""indices"": [4, 5, 6, 8, 9, 10]}","{""grid_size"": [5, 5], ""correct_patches"": [3, 6, 7, 8, 12, 13, 14, 18, 19]}","缺失 7 个正确索引: [3, 7, 12, 13, 14, 18, 19]；多选 4 个错误索引: [4, 5, 9, 10]",,1491,29
Patch_Select,image6.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18]}","缺失 3 个正确索引: [14, 16, 18]；多选 1 个错误索引: [10]",,1497,53
Patch_Select,image5.jpg,"{""answer_type"": ""multi_select"", ""indices"": [0, 1, 4, 5]}","{""answer_type"": ""multi_select"", ""indices"": [0, 1, 4, 5]}","{""grid_size"": [5, 5], ""correct_patches"": [0, 1, 5, 6]}",缺失 1 个正确索引: [6]；多选 1 个错误索引: [4],,1492,23
Patch_Select,image7.jpg,"{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""grid_size"": [5, 5], ""correct_patches"": [12, 13, 17]}","缺失 1 个正确索引: [17]；多选 2 个错误索引: [7, 8]",,1911,23
Patch_Select,image8.jpg,"{""answer_type"": ""multi_select"", ""indices"": [3, 4, 6, 7]}","{""answer_type"": ""multi_select"", ""indices"": [3, 4, 6, 7]}","{""grid_size"": [5, 5], ""correct_patches"": [16, 17, 21, 22]}","缺失 4 个正确索引: [16, 17, 21, 22]；多选 4 个错误索引: [3, 4, 6, 7]",,1912,23
Patch_Select,image9.jpg,"{""answer_type"": ""multi_select"", ""indices"": [10, 11, 12]}","{""answer_type"": ""multi_select"", ""indices"": [10, 11, 12]}","{""grid_size"": [5, 5], ""correct_patches"": [16, 17, 18, 21, 22, 23]}","缺失 6 个正确索引: [16, 17, 18, 21, 22, 23]；多选 3 个错误索引: [10, 11, 12]",,1911,20
Patch_Select,image3.jpg,"{""answer_type"": ""multi_select"", ""indices"": [4, 5, 6, 7, 9, 10, 11, 12]}","{""answer_type"": ""multi_select"", ""indices"": [4, 5, 6, 7, 9, 10, 11, 12]}","{""grid_size"": [5, 5], ""correct_patches"": [7, 12, 17]}","缺失 1 个正确索引: [17]；多选 6 个错误索引: [4, 5, 6, 9, 10, 11]",,1492,35
Patch_Select,image10.jpg,"{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""answer_type"": ""multi_select"", ""indices"": [7, 8, 12, 13]}","{""grid_size"": [5, 5], ""correct_patches"": [17, 18, 21, 22, 23]}","缺失 5 个正确索引: [17, 18, 21, 22, 23]；多选 4 个错误索引: [7, 8, 12, 13]",,1491,23
Dice_Count,dice7.png,"{""answer_type"": ""number"", ""value"": 36}","{""answer_type"": ""number"", ""value"": 36}","{""sum"": 44}",预测点数 36.0 低于 GT 44.0 (Δ=-8)，说明模型遗漏了一些顶面。,,2804,13
Dice_Count,dice8.png,"{""answer_type"": ""number"", ""value"": 93}","{""answer_type"": ""number"", ""value"": 93}","{""sum"": 79}",预测点数 93.0 高于 GT 79.0 (Δ=+14)，说明模型重复计数或误把非顶面算入。,,3084,13
Dice_Count,dice6.png,"{""answer_type"": ""number"", ""value"": 33}","{""answer_type"": ""number"", ""value"": 33}","{""sum"": 38}",预测点数 33.0 低于 GT 38.0 (Δ=-5)，说明模型遗漏了一些顶面。,,2804,13
Dice_Count,dice3.png,"{""answer_type"": ""number"", ""value"": 73}","{""answer_type"": ""number"", ""value"": 73}","{""sum"": 69}",预测点数 73.0 高于 GT 69.0 (Δ=+4)，说明模型重复计数或误把非顶面算入。,,3084,13
Dice_Count,dice5.png,"{""answer_type"": ""number"", ""value"": 73}","{""answer_type"": ""number"", ""value"": 73}","{""sum"": 69}",预测点数 73.0 高于 GT 69.0 (Δ=+4)，说明模型重复计数或误把非顶面算入。,,3084,13
