phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,openai,gpt-5.1,Path_Finder,path10.JPG,1,4111,21,5647.2,5653.1,
summary,openai,gpt-5.1,Path_Finder,path10.JPG,1,4111,21,,5653.1,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_2.json,1,8519,21,19958.1,19967.7,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_18.json,2,9778,24,26229.5,26235.5,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_20.json,3,8521,24,24098.7,24113.0,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_5.json,4,8516,21,22481.5,22492.2,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_19.json,5,9777,21,28668.0,28678.9,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_5.json,6,8517,21,16346.9,16355.4,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_7.json,7,7889,21,18269.2,18275.7,
summary,openai,gpt-5.1,Dart_Count,dart_puzzle_7.json,7,61517,153,,156118.5,
attempt,openai,gpt-5.1,Click_Order,image1.png,1,877,53,2371.0,2372.2,
attempt,openai,gpt-5.1,Click_Order,image7.png,2,876,53,2378.1,2380.6,
attempt,openai,gpt-5.1,Click_Order,image9.png,3,876,53,2534.7,2539.1,
attempt,openai,gpt-5.1,Click_Order,image9.png,4,878,53,2475.2,2476.1,
attempt,openai,gpt-5.1,Click_Order,image4.png,5,876,53,2542.8,2547.7,
attempt,openai,gpt-5.1,Click_Order,image7.png,6,876,53,2462.6,2463.6,
attempt,openai,gpt-5.1,Click_Order,image7.png,7,873,53,2529.8,2531.0,
summary,openai,gpt-5.1,Click_Order,image7.png,7,6132,371,,17310.4,
attempt,openai,gpt-5.1,Unusual_Detection,unusual16.png,1,948,24,3347.0,3348.2,
summary,openai,gpt-5.1,Unusual_Detection,unusual16.png,1,948,24,,3348.2,
attempt,openai,gpt-5.1,Image_Recognition,images13,1,2195,29,3986.9,3989.2,
attempt,openai,gpt-5.1,Image_Recognition,images14,2,2195,25,4142.0,4145.2,
summary,openai,gpt-5.1,Image_Recognition,images14,2,4390,54,,8134.4,
attempt,openai,gpt-5.1,Misleading_Click,image1.png,1,872,27,6378.7,6380.8,
