phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,openai,gpt-5.1,Path_Finder,path7.JPG,1,4109,21,5077.4,5083.3,
summary,openai,gpt-5.1,Path_Finder,path7.JPG,1,4109,21,,5083.3,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_19.json,1,9777,21,25845.2,25893.7,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_1.json,2,8516,21,23566.3,23597.3,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_12.json,3,9779,21,26149.2,26164.9,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_10.json,4,8517,21,17439.2,17452.6,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_13.json,5,9776,21,29040.4,29053.2,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_4.json,6,8517,21,16189.3,16196.9,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_15.json,7,9781,21,26076.0,26086.6,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_16.json,8,9778,21,31036.4,31050.4,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_5.json,9,8519,21,18630.9,18641.8,
attempt,openai,gpt-5.1,Dart_Count,dart_puzzle_3.json,10,8518,21,15021.9,15033.6,
summary,openai,gpt-5.1,Dart_Count,,10,91478,210,,229171.1,
attempt,openai,gpt-5.1,Click_Order,image3.png,1,876,53,2076.2,2079.1,
attempt,openai,gpt-5.1,Click_Order,image1.png,2,875,53,2307.7,2311.6,
attempt,openai,gpt-5.1,Click_Order,image10.png,3,875,53,2583.1,2587.8,
attempt,openai,gpt-5.1,Click_Order,image5.png,4,878,53,2607.3,2611.0,
attempt,openai,gpt-5.1,Click_Order,image8.png,5,875,53,3015.9,3018.4,
attempt,openai,gpt-5.1,Click_Order,image10.png,6,877,53,2915.7,2916.6,
attempt,openai,gpt-5.1,Click_Order,image8.png,7,877,53,2296.3,2297.6,
attempt,openai,gpt-5.1,Click_Order,image3.png,8,880,53,3808.8,3809.8,
attempt,openai,gpt-5.1,Click_Order,image7.png,9,882,53,2220.0,2222.9,
attempt,openai,gpt-5.1,Click_Order,image7.png,10,875,53,3940.4,3941.2,
summary,openai,gpt-5.1,Click_Order,image7.png,10,8770,530,,27796.1,
attempt,openai,gpt-5.1,Unusual_Detection,unusual1.png,1,953,27,4492.6,4499.6,
attempt,openai,gpt-5.1,Unusual_Detection,unusual11.png,2,952,23,4237.6,4248.2,
attempt,openai,gpt-5.1,Unusual_Detection,unusual16.png,3,952,21,4647.5,4657.0,
summary,openai,gpt-5.1,Unusual_Detection,unusual16.png,3,2857,71,,13404.8,
attempt,openai,gpt-5.1,Image_Recognition,images19,1,2192,27,2357.4,2359.6,
summary,openai,gpt-5.1,Image_Recognition,images19,1,2192,27,,2359.6,
attempt,openai,gpt-5.1,Misleading_Click,image4.png,1,870,27,3283.4,3283.9,
summary,openai,gpt-5.1,Misleading_Click,image4.png,1,870,27,,3283.9,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample17.png,1,5677,21,7752.4,7754.8,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample2.png,2,4069,21,4994.3,4997.5,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample15.png,3,5680,21,5849.3,5853.1,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample7.png,4,5609,21,12229.7,12235.1,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample15.png,5,5678,21,4679.8,4681.4,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample11.png,6,5326,21,6782.5,6785.3,
attempt,openai,gpt-5.1,Coordinates,coordinate_sample18.png,7,5677,21,10281.2,10284.2,
summary,openai,gpt-5.1,Coordinates,coordinate_sample18.png,7,37716,147,,52591.4,
attempt,openai,gpt-5.1,Object_Match,example4.png,1,4069,21,15660.6,15663.8,
attempt,openai,gpt-5.1,Object_Match,example12.png,2,4065,21,17691.7,17697.0,
summary,openai,gpt-5.1,Object_Match,example12.png,2,8134,42,,33360.8,
attempt,openai,gpt-5.1,Rotation_Match,puzzle_polarbear_direction_8.json,1,2059,20,5894.0,5896.3,
attempt,openai,gpt-5.1,Rotation_Match,puzzle_cat_direction_5.json,2,1499,20,3944.3,3947.2,
attempt,openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_2.json,3,1499,20,6203.4,6205.9,
attempt,openai,gpt-5.1,Rotation_Match,puzzle_gold_direction_5.json,4,1502,23,6384.7,6387.0,
