phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,anthropic,claude-sonnet-4-5,Path_Finder,path3.JPG,1,10119,52,6705.5,6705.5,
summary,anthropic,claude-sonnet-4-5,Path_Finder,path3.JPG,1,10119,52,,6705.5,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_9.json,1,11530,52,8505.1,8505.1,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_20.json,2,15038,52,10906.8,10906.8,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_16.json,3,17197,52,12130.1,12130.1,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_7.json,4,10710,52,60773.3,60773.3,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_2.json,5,11528,52,7415.1,7415.1,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_5.json,6,11532,52,9054.3,9054.3,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_12.json,7,17193,52,10263.7,10263.7,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_5.json,8,11529,52,61402.0,61402.0,
attempt,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_13.json,9,17195,52,10896.1,10896.1,
summary,anthropic,claude-sonnet-4-5,Dart_Count,dart_puzzle_13.json,9,123452,468,,191346.5,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image3.png,1,1285,175,18069.6,18069.6,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image7.png,2,1346,112,3675.9,3675.9,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image9.png,3,1307,103,4652.2,4652.2,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image2.png,4,1303,103,3118.6,3118.6,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image3.png,5,1289,112,3023.8,3023.8,
attempt,anthropic,claude-sonnet-4-5,Click_Order,image5.png,6,1307,103,3116.5,3116.5,
summary,anthropic,claude-sonnet-4-5,Click_Order,image5.png,6,7837,708,,35656.7,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual2.png,1,2305,59,3472.4,3472.4,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual7.png,2,2302,59,7003.6,7003.6,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual14.png,3,2301,59,4040.6,4040.6,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual9.png,4,2303,56,5967.1,5967.1,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual19.png,5,2305,59,3833.9,3833.9,
attempt,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual21.png,6,2307,62,5980.9,5980.9,
summary,anthropic,claude-sonnet-4-5,Unusual_Detection,unusual21.png,6,13823,354,,30298.5,
