provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5-chat-latest,Unusual_Detection,unusual3.png,748,14,3633.6,3633.9
openai,gpt-5-chat-latest,Unusual_Detection,unusual9.png,748,14,4331.6,4332.1
openai,gpt-5-chat-latest,Unusual_Detection,unusual4.png,748,17,6732.2,6734.6
openai,gpt-5-chat-latest,Unusual_Detection,unusual6.png,748,26,3160.4,3170.2
openai,gpt-5-chat-latest,Unusual_Detection,unusual7.png,748,14,3282.3,3292.5
openai,gpt-5-chat-latest,Unusual_Detection,unusual5.png,748,17,2727.5,2738.0
openai,gpt-5-chat-latest,Unusual_Detection,unusual10.png,748,20,1838.5,1843.5
openai,gpt-5-chat-latest,Unusual_Detection,unusual1.png,748,17,3880.6,3888.5
openai,gpt-5-chat-latest,Unusual_Detection,unusual2.png,748,17,2955.4,2965.2
openai,gpt-5-chat-latest,Unusual_Detection,unusual8.png,748,14,2461.6,2463.7
openai,gpt-5-chat-latest,Image_Recognition,images6,2010,29,1727.3,1732.9
openai,gpt-5-chat-latest,Image_Recognition,images2,2011,26,1638.4,1642.5
openai,gpt-5-chat-latest,Image_Recognition,images5,2011,23,1528.3,1534.0
openai,gpt-5-chat-latest,Image_Recognition,images10,2010,26,1429.8,1435.5
openai,gpt-5-chat-latest,Image_Recognition,images3,2011,26,7974.8,7980.4
openai,gpt-5-chat-latest,Image_Recognition,images8,2011,26,10747.0,10751.4
openai,gpt-5-chat-latest,Image_Recognition,images7,2010,23,1774.3,1780.0
openai,gpt-5-chat-latest,Image_Recognition,images9,2011,26,4252.3,4257.5
openai,gpt-5-chat-latest,Image_Recognition,images1,2011,29,1837.2,1842.5
openai,gpt-5-chat-latest,Image_Recognition,images4,2010,26,1801.7,1807.4
openai,gpt-5-chat-latest,Image_Matching,ground_image9.png,3895,14,13106.8,13138.8
openai,gpt-5-chat-latest,Image_Matching,ground_image8.png,3895,14,13301.8,13312.8
openai,gpt-5-chat-latest,Image_Matching,ground_image5.png,3895,14,17019.4,17040.3
openai,gpt-5-chat-latest,Image_Matching,ground_image3.png,3895,14,16435.6,16439.2
openai,gpt-5-chat-latest,Image_Matching,ground_image7.png,3895,14,15560.9,15565.3
openai,gpt-5-chat-latest,Image_Matching,ground_image4.png,4525,14,16879.4,16894.1
openai,gpt-5-chat-latest,Image_Matching,ground_image6.png,3895,14,10464.2,10468.9
openai,gpt-5-chat-latest,Image_Matching,ground_image10.png,4525,14,11834.8,11849.1
openai,gpt-5-chat-latest,Image_Matching,ground_image2.png,3895,14,13932.1,13936.7
openai,gpt-5-chat-latest,Image_Matching,ground_image1.png,3895,14,10828.4,10833.4
openai,gpt-5-chat-latest,Geometry_Click,geetest_000001.jpg,354,23,639.2,640.8
openai,gpt-5-chat-latest,Geometry_Click,dingxiang_000004.jpg,349,23,743.3,744.3
openai,gpt-5-chat-latest,Geometry_Click,vtt_000005.jpg,490,23,768.6,770.3
openai,gpt-5-chat-latest,Geometry_Click,geetest_000002.jpg,350,23,732.9,734.3
openai,gpt-5-chat-latest,Geometry_Click,vtt_000003.jpg,490,23,679.9,682.4
openai,gpt-5-chat-latest,Geometry_Click,dingxiang_000005.jpg,354,23,10453.8,10455.3
openai,gpt-5-chat-latest,Geometry_Click,dingxiang_000003.jpg,350,23,816.5,817.7
openai,gpt-5-chat-latest,Geometry_Click,dingxiang_000001.jpg,355,23,817.2,818.9
openai,gpt-5-chat-latest,Geometry_Click,vtt_000004.jpg,490,23,814.3,815.5
openai,gpt-5-chat-latest,Geometry_Click,vtt_000002.jpg,487,23,672.9,674.5
openai,gpt-5-chat-latest,Misleading_Click,image3.png,768,23,1827.0,1832.5
openai,gpt-5-chat-latest,Misleading_Click,image2.png,768,23,2275.1,2280.4
openai,gpt-5-chat-latest,Misleading_Click,image7.png,768,23,3495.7,3506.2
openai,gpt-5-chat-latest,Misleading_Click,image6.png,768,23,2132.0,2137.4
openai,gpt-5-chat-latest,Misleading_Click,image1.png,768,23,12216.4,12226.3
openai,gpt-5-chat-latest,Misleading_Click,image10.png,768,23,2498.7,2503.0
openai,gpt-5-chat-latest,Misleading_Click,image8.png,768,23,1469.4,1473.3
openai,gpt-5-chat-latest,Misleading_Click,image9.png,768,23,1815.2,1819.3
openai,gpt-5-chat-latest,Misleading_Click,image4.png,768,23,1787.7,1793.9
openai,gpt-5-chat-latest,Misleading_Click,image5.png,768,23,1716.4,1721.9
openai,gpt-5-chat-latest,Object_Match,example9.png,3897,14,15393.8,15434.8
openai,gpt-5-chat-latest,Object_Match,example10.png,3897,14,29654.7,29679.4
openai,gpt-5-chat-latest,Object_Match,example5.png,3897,14,18547.0,18574.2
openai,gpt-5-chat-latest,Object_Match,example4.png,3897,14,12544.3,12560.1
openai,gpt-5-chat-latest,Object_Match,example6.png,3897,14,13682.9,13713.8
openai,gpt-5-chat-latest,Object_Match,example1.png,3897,14,10418.5,10444.5
openai,gpt-5-chat-latest,Object_Match,example2.png,3897,14,10222.5,10238.8
openai,gpt-5-chat-latest,Object_Match,example7.png,3897,14,21194.9,21203.6
openai,gpt-5-chat-latest,Object_Match,example8.png,3897,14,18268.1,18276.1
openai,gpt-5-chat-latest,Object_Match,example3.png,3897,14,17849.4,17858.5
openai,gpt-5-chat-latest,Path_Finder,path5.JPG,755,14,1817.5,1819.2
openai,gpt-5-chat-latest,Path_Finder,path10.JPG,755,14,1267.8,1270.1
openai,gpt-5-chat-latest,Path_Finder,path6.JPG,755,14,1001.6,1004.3
openai,gpt-5-chat-latest,Path_Finder,path2.JPG,755,14,1456.1,1457.5
openai,gpt-5-chat-latest,Path_Finder,path7.JPG,755,14,1575.8,1577.1
openai,gpt-5-chat-latest,Path_Finder,path8.JPG,755,14,1323.3,1325.0
openai,gpt-5-chat-latest,Path_Finder,path1.JPG,755,14,1178.3,1180.1
openai,gpt-5-chat-latest,Path_Finder,path3.JPG,755,14,937.4,939.0
openai,gpt-5-chat-latest,Path_Finder,path4.JPG,755,14,1703.9,1705.7
openai,gpt-5-chat-latest,Path_Finder,path9.JPG,755,14,1383.1,1385.0
openai,gpt-5-chat-latest,Bingo,bingo6.png,779,16,3011.4,3023.2
openai,gpt-5-chat-latest,Bingo,bingo15.png,779,16,2748.1,2755.5
openai,gpt-5-chat-latest,Bingo,bingo10.png,779,16,2347.3,2354.1
openai,gpt-5-chat-latest,Bingo,bingo4.png,779,16,1389.0,1392.6
openai,gpt-5-chat-latest,Bingo,bingo13.png,779,16,3616.7,3624.9
openai,gpt-5-chat-latest,Bingo,bingo9.png,779,16,4281.5,4290.8
openai,gpt-5-chat-latest,Bingo,bingo2.png,779,16,1531.2,1534.7
openai,gpt-5-chat-latest,Bingo,bingo12.png,779,16,4696.5,4709.9
openai,gpt-5-chat-latest,Bingo,bingo3.png,779,16,7367.9,7372.3
openai,gpt-5-chat-latest,Bingo,bingo14.png,779,16,3371.2,3377.3
openai,gpt-5-chat-latest,Place_Dot,path3.png,776,23,1739.3,1739.9
openai,gpt-5-chat-latest,Place_Dot,path7.png,776,23,1124.5,1125.0
openai,gpt-5-chat-latest,Place_Dot,path2.png,776,23,1489.5,1490.0
openai,gpt-5-chat-latest,Place_Dot,path1.png,776,23,1679.3,1680.0
openai,gpt-5-chat-latest,Place_Dot,path9.png,776,23,1506.6,1507.2
openai,gpt-5-chat-latest,Place_Dot,path4.png,776,23,1070.1,1070.8
openai,gpt-5-chat-latest,Place_Dot,path5.png,776,23,1515.8,1516.4
openai,gpt-5-chat-latest,Place_Dot,path10.png,776,23,1099.3,1099.8
openai,gpt-5-chat-latest,Place_Dot,path8.png,776,23,1308.8,1309.3
openai,gpt-5-chat-latest,Place_Dot,path6.png,776,23,1068.8,1069.8
openai,gpt-5-chat-latest,Coordinates,coordinate_sample5.png,5432,14,5408.4,5424.0
openai,gpt-5-chat-latest,Coordinates,coordinate_sample6.png,5152,14,3980.7,3990.1
openai,gpt-5-chat-latest,Coordinates,coordinate_sample4.png,5432,14,5318.5,5325.5
openai,gpt-5-chat-latest,Coordinates,coordinate_sample2.png,3892,14,3062.9,3070.2
openai,gpt-5-chat-latest,Coordinates,coordinate_sample1.png,4172,14,6338.5,6349.0
openai,gpt-5-chat-latest,Coordinates,coordinate_sample7.png,5432,14,14820.9,14842.8
openai,gpt-5-chat-latest,Coordinates,coordinate_sample3.png,3892,14,4604.5,4610.1
openai,gpt-5-chat-latest,Coordinates,coordinate_sample10.png,5432,14,26716.5,26725.8
openai,gpt-5-chat-latest,Coordinates,coordinate_sample9.png,5432,14,6285.3,6298.3
openai,gpt-5-chat-latest,Coordinates,coordinate_sample8.png,5432,14,10655.1,10667.9
openai,gpt-5-chat-latest,Dice_Count,dice8.png,1019,13,2823.7,2826.1
openai,gpt-5-chat-latest,Dice_Count,dice1.png,1019,13,3801.9,3804.6
openai,gpt-5-chat-latest,Dice_Count,dice5.png,1019,13,4760.8,4761.9
openai,gpt-5-chat-latest,Dice_Count,dice3.png,1019,13,6227.4,6229.5
openai,gpt-5-chat-latest,Dice_Count,dice6.png,739,13,2982.9,2983.8
openai,gpt-5-chat-latest,Dice_Count,dice4.png,1019,13,3559.3,3561.4
openai,gpt-5-chat-latest,Dice_Count,dice7.png,739,13,3554.5,3555.8
openai,gpt-5-chat-latest,Dice_Count,dice10.png,1019,13,4348.4,4350.5
openai,gpt-5-chat-latest,Dice_Count,dice9.png,1019,13,3681.8,3683.9
openai,gpt-5-chat-latest,Dice_Count,dice2.png,1019,13,5221.7,5223.8
openai,gpt-5-chat-latest,Pick_Area,image4.png,773,23,5696.1,5720.9
openai,gpt-5-chat-latest,Pick_Area,image1.png,773,23,1640.4,1645.3
openai,gpt-5-chat-latest,Pick_Area,image7.png,773,23,4591.1,4609.2
openai,gpt-5-chat-latest,Pick_Area,image10.png,773,23,4752.5,4763.8
openai,gpt-5-chat-latest,Pick_Area,image9.png,773,23,14852.9,14865.9
openai,gpt-5-chat-latest,Pick_Area,image8.png,773,23,10565.2,10578.7
openai,gpt-5-chat-latest,Pick_Area,image5.png,773,23,4775.3,4789.8
openai,gpt-5-chat-latest,Pick_Area,image3.png,773,23,12269.4,12286.9
openai,gpt-5-chat-latest,Pick_Area,image2.png,773,23,6819.4,6830.4
openai,gpt-5-chat-latest,Pick_Area,image6.png,773,23,9848.8,9874.1
openai,gpt-5-chat-latest,Click_Order,image8.png,714,60,1785.0,1785.6
openai,gpt-5-chat-latest,Click_Order,image5.png,714,60,1784.9,1785.4
openai,gpt-5-chat-latest,Click_Order,image6.png,714,60,1546.1,1546.5
openai,gpt-5-chat-latest,Click_Order,image10.png,714,60,1501.2,1501.7
openai,gpt-5-chat-latest,Click_Order,image9.png,714,60,1670.9,1671.4
openai,gpt-5-chat-latest,Click_Order,image3.png,714,60,1708.1,1708.6
openai,gpt-5-chat-latest,Click_Order,image1.png,714,60,2076.0,2076.5
openai,gpt-5-chat-latest,Click_Order,image4.png,714,60,1591.0,1591.6
openai,gpt-5-chat-latest,Click_Order,image7.png,714,60,1374.9,1375.5
openai,gpt-5-chat-latest,Click_Order,image2.png,714,60,1771.6,1772.2
openai,gpt-5-chat-latest,Connect_Icon,puzzle4.json,2360,14,4458.3,4469.2
openai,gpt-5-chat-latest,Connect_Icon,puzzle2.json,1940,14,3376.5,3379.3
openai,gpt-5-chat-latest,Connect_Icon,puzzle10.json,1940,14,3683.3,3685.8
openai,gpt-5-chat-latest,Connect_Icon,puzzle7.json,2360,14,5215.9,5220.3
openai,gpt-5-chat-latest,Connect_Icon,puzzle3.json,2780,14,4293.8,4299.1
openai,gpt-5-chat-latest,Connect_Icon,puzzle9.json,1940,14,2761.9,2764.6
openai,gpt-5-chat-latest,Connect_Icon,puzzle1.json,1800,14,2919.5,2921.6
openai,gpt-5-chat-latest,Connect_Icon,puzzle8.json,1940,14,4036.6,4039.0
openai,gpt-5-chat-latest,Connect_Icon,puzzle5.json,2360,14,3325.2,3329.9
openai,gpt-5-chat-latest,Connect_Icon,puzzle6.json,2360,14,12948.1,12952.7
openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_2.json,1096,13,3398.6,3406.0
openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_6.json,1656,13,3027.1,3040.4
openai,gpt-5-chat-latest,Rotation_Match,puzzle_sad_cat_direction_3.json,1376,13,2242.1,2250.7
openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_2.json,1376,13,2455.0,2455.6
openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_4.json,1096,13,4084.5,4094.3
openai,gpt-5-chat-latest,Rotation_Match,puzzle_sad_cat_direction_6.json,1656,13,3357.8,3358.6
openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_6.json,1376,13,2886.2,2886.8
openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_1.json,1376,13,3165.1,3172.8
openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_5.json,1376,13,2991.1,2998.7
openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_7.json,1376,13,4561.6,4576.4
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_4.json,8312,14,20531.6,20568.1
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_7.json,7682,14,16721.1,16731.7
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_8.json,8312,14,14473.5,14484.0
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_10.json,8312,14,16255.4,16262.0
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_2.json,8312,14,11486.0,11495.8
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_5.json,8312,14,11607.0,11616.7
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_1.json,8312,14,19716.8,19727.3
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_9.json,8312,14,17557.5,17567.3
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_3.json,8312,14,28113.5,28124.6
openai,gpt-5-chat-latest,Dart_Count,dart_puzzle_6.json,8312,14,10065.4,10075.3
openai,gpt-5-chat-latest,Patch_Select,image2.jpg,326,35,10344.1,10344.4
openai,gpt-5-chat-latest,Patch_Select,image9.jpg,746,23,955.9,956.3
openai,gpt-5-chat-latest,Patch_Select,image4.jpg,326,35,925.7,926.0
openai,gpt-5-chat-latest,Patch_Select,image5.jpg,327,23,731.6,732.0
openai,gpt-5-chat-latest,Patch_Select,image8.jpg,747,17,1305.2,1305.9
openai,gpt-5-chat-latest,Patch_Select,image7.jpg,746,23,1301.1,1301.5
openai,gpt-5-chat-latest,Patch_Select,image10.jpg,326,23,740.5,740.8
openai,gpt-5-chat-latest,Patch_Select,image1.jpg,746,23,2695.3,2696.3
openai,gpt-5-chat-latest,Patch_Select,image3.jpg,327,23,950.8,951.0
openai,gpt-5-chat-latest,Patch_Select,image6.jpg,332,53,939.7,939.9
openai,gpt-5-chat-latest,Select_Animal,image10.png,744,14,4148.9,4158.6
openai,gpt-5-chat-latest,Select_Animal,image8.png,744,14,4054.8,4066.6
openai,gpt-5-chat-latest,Select_Animal,image5.png,744,14,3183.1,3189.6
openai,gpt-5-chat-latest,Select_Animal,image4.png,744,14,3637.1,3647.0
openai,gpt-5-chat-latest,Select_Animal,image2.png,744,14,2862.9,2871.4
openai,gpt-5-chat-latest,Select_Animal,image3.png,745,14,3676.3,3685.2
openai,gpt-5-chat-latest,Select_Animal,image6.png,744,14,2957.4,2967.5
openai,gpt-5-chat-latest,Select_Animal,image9.png,745,14,4698.5,4710.0
openai,gpt-5-chat-latest,Select_Animal,image7.png,744,14,4455.1,4466.2
openai,gpt-5-chat-latest,Select_Animal,image1.png,744,14,3653.4,3661.6
