phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_sad_cat_direction_2.json,1,1501,13,3301.4,3302.7,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_6.json,2,1506,13,3947.4,3952.1,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_3.json,3,1499,13,3572.3,3574.4,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_1.json,4,1224,13,2687.2,2690.4,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_5.json,5,1221,13,2524.5,2528.5,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_1.json,6,1503,13,3133.9,3135.4,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_cat_direction_2.json,7,1502,13,2832.9,2835.0,
attempt,openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_3.json,8,1226,13,3506.9,3508.6,
summary,openai,gpt-5-chat-latest,Rotation_Match,puzzle_hungry_cat_direction_3.json,8,11182,104,,25527.1,
attempt,openai,gpt-5-chat-latest,Misleading_Click,image8.png,1,872,23,3134.5,3135.6,
summary,openai,gpt-5-chat-latest,Misleading_Click,image8.png,1,872,23,,3135.6,
attempt,openai,gpt-5-chat-latest,Click_Order,image8.png,1,877,60,3436.1,3437.9,
attempt,openai,gpt-5-chat-latest,Click_Order,image6.png,2,879,60,1654.4,1655.8,
attempt,openai,gpt-5-chat-latest,Click_Order,image10.png,3,876,60,4031.1,4033.5,
attempt,openai,gpt-5-chat-latest,Click_Order,image2.png,4,878,60,4743.6,4746.1,
attempt,openai,gpt-5-chat-latest,Click_Order,image5.png,5,878,60,2843.8,2845.5,
attempt,openai,gpt-5-chat-latest,Click_Order,image1.png,6,879,60,2553.2,2555.4,
attempt,openai,gpt-5-chat-latest,Click_Order,image3.png,7,879,60,4661.2,4662.5,
attempt,openai,gpt-5-chat-latest,Click_Order,image4.png,8,877,60,4020.5,4022.8,
attempt,openai,gpt-5-chat-latest,Click_Order,image9.png,9,879,60,1994.7,1997.0,
attempt,openai,gpt-5-chat-latest,Click_Order,image7.png,10,878,60,2583.8,2585.2,
