provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
gemini,gemini-2.5-flash,Connect_Icon,puzzle3.json,2289,125,3869.7,3869.7
gemini,gemini-2.5-flash,Connect_Icon,puzzle9.json,2289,105,3351.5,3351.5
gemini,gemini-2.5-flash,Connect_Icon,puzzle4.json,2289,144,4130.4,4130.4
gemini,gemini-2.5-flash,Connect_Icon,puzzle6.json,2289,115,3690.0,3690.0
gemini,gemini-2.5-flash,Connect_Icon,puzzle7.json,2289,105,3278.9,3278.9
gemini,gemini-2.5-flash,Connect_Icon,puzzle5.json,2289,99,3883.8,3883.8
gemini,gemini-2.5-flash,Connect_Icon,puzzle10.json,2289,101,2929.3,2929.3
gemini,gemini-2.5-flash,Connect_Icon,puzzle1.json,2289,107,3664.6,3664.6
gemini,gemini-2.5-flash,Connect_Icon,puzzle2.json,2289,96,3521.0,3521.0
gemini,gemini-2.5-flash,Connect_Icon,puzzle8.json,2289,173,5736.1,5736.1
gemini,gemini-2.5-flash,Place_Dot,path6.jpg,522,125,7840.9,7840.9
gemini,gemini-2.5-flash,Place_Dot,path2.jpg,522,134,6930.5,6930.5
gemini,gemini-2.5-flash,Place_Dot,path5.jpg,522,109,6649.8,6649.8
gemini,gemini-2.5-flash,Place_Dot,path10.jpg,522,134,7848.2,7848.2
gemini,gemini-2.5-flash,Place_Dot,path3.jpg,522,108,7143.8,7143.8
gemini,gemini-2.5-flash,Place_Dot,path8.jpg,522,123,7233.1,7233.1
gemini,gemini-2.5-flash,Place_Dot,path7.jpg,522,147,7262.1,7262.1
gemini,gemini-2.5-flash,Place_Dot,path9.jpg,522,95,6649.4,6649.4
gemini,gemini-2.5-flash,Place_Dot,path1.jpg,522,104,6662.9,6662.9
gemini,gemini-2.5-flash,Place_Dot,path4.jpg,522,152,7773.2,7773.2
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_9.json,3609,222,10152.5,10152.5
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_8.json,3609,103,9106.0,9106.0
gemini,gemini-2.5-flash,Dart_Count,dart_puzzle_5.json,3609,267,9914.7,9914.7
