provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5.1,Geometry_Click,dingxiang_000005.jpg,353,33,2277.7,2278.0
openai,gpt-5.1,Geometry_Click,geetest_000001.jpg,353,27,2096.4,2097.0
openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,348,33,2013.1,2014.0
openai,gpt-5.1,Geometry_Click,geetest_000002.jpg,349,27,1905.0,1905.6
openai,gpt-5.1,Geometry_Click,vtt_000004.jpg,489,37,2283.8,2284.4
openai,gpt-5.1,Geometry_Click,dingxiang_000003.jpg,349,27,1781.5,1781.9
openai,gpt-5.1,Geometry_Click,geetest_000004.jpg,349,33,2393.3,2394.0
openai,gpt-5.1,Geometry_Click,vtt_000001.jpg,488,27,3083.5,3084.3
openai,gpt-5.1,Geometry_Click,vtt_000002.jpg,486,33,1779.7,1780.4
openai,gpt-5.1,Geometry_Click,geetest_000005.jpg,349,33,1978.2,1978.9
openai,gpt-5.1,Geometry_Click,vtt_000005.jpg,489,27,2007.6,2008.3
openai,gpt-5.1,Geometry_Click,dingxiang_000001.jpg,354,33,1991.3,1992.2
openai,gpt-5.1,Geometry_Click,dingxiang_000002.jpg,348,33,1673.6,1674.0
openai,gpt-5.1,Geometry_Click,geetest_000003.jpg,346,33,1894.8,1895.6
openai,gpt-5.1,Geometry_Click,vtt_000003.jpg,489,27,3006.4,3006.9
openai,gpt-5.1,Image_Matching,ground_image14.png,4233,21,15375.4,15403.5
openai,gpt-5.1,Image_Matching,ground_image15.png,4233,21,18501.0,18516.9
openai,gpt-5.1,Image_Matching,ground_image8.png,3953,21,14108.4,14130.0
openai,gpt-5.1,Image_Matching,ground_image11.png,3953,21,19227.4,19247.0
openai,gpt-5.1,Image_Matching,ground_image19.png,4233,21,19651.4,19660.8
openai,gpt-5.1,Image_Matching,ground_image7.png,3953,24,14056.4,14074.9
openai,gpt-5.1,Image_Matching,ground_image12.png,4233,21,19538.6,19554.7
openai,gpt-5.1,Image_Matching,ground_image5.png,3953,21,22839.2,22864.3
openai,gpt-5.1,Image_Matching,ground_image9.png,3953,24,18657.0,18661.5
openai,gpt-5.1,Image_Matching,ground_image10.png,4233,21,13712.9,13718.9
openai,gpt-5.1,Image_Matching,ground_image2.png,3953,21,17193.8,17199.9
openai,gpt-5.1,Image_Matching,ground_image18.png,3953,21,13504.8,13517.1
openai,gpt-5.1,Image_Matching,ground_image20.png,4233,21,15139.8,15145.6
openai,gpt-5.1,Image_Matching,ground_image3.png,3953,24,21401.6,21405.1
openai,gpt-5.1,Image_Matching,ground_image1.png,3953,21,22822.9,22827.2
openai,gpt-5.1,Image_Matching,ground_image6.png,3953,21,17425.3,17432.5
openai,gpt-5.1,Image_Matching,ground_image16.png,4233,21,19214.7,19228.8
openai,gpt-5.1,Image_Matching,ground_image17.png,3953,21,17405.4,17410.1
openai,gpt-5.1,Image_Matching,ground_image13.png,4233,24,14531.1,14535.9
openai,gpt-5.1,Path_Finder,path6.JPG,3895,21,6796.1,6808.9
openai,gpt-5.1,Path_Finder,path4.JPG,3895,24,7000.6,7012.3
openai,gpt-5.1,Path_Finder,path2.JPG,3895,21,7504.1,7512.8
openai,gpt-5.1,Path_Finder,path3.JPG,3895,21,8990.8,9002.2
openai,gpt-5.1,Path_Finder,path10.JPG,3895,21,10120.7,10132.1
openai,gpt-5.1,Path_Finder,path8.JPG,3895,21,6547.7,6560.2
openai,gpt-5.1,Path_Finder,path7.JPG,3895,24,8258.9,8265.7
openai,gpt-5.1,Path_Finder,path5.JPG,3895,24,8071.7,8081.4
openai,gpt-5.1,Path_Finder,path1.JPG,3895,24,7872.1,7882.9
openai,gpt-5.1,Path_Finder,path9.JPG,3895,24,6252.5,6263.0
openai,gpt-5.1,Connect_Icon,puzzle14.json,5550,24,11775.5,11797.9
openai,gpt-5.1,Connect_Icon,puzzle10.json,1980,21,4178.1,4189.3
openai,gpt-5.1,Connect_Icon,puzzle12.json,3240,21,5660.2,5671.5
openai,gpt-5.1,Connect_Icon,puzzle4.json,2400,21,4191.2,4196.6
openai,gpt-5.1,Connect_Icon,puzzle5.json,2400,21,4702.5,4707.4
