provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image25.png,1215,19,4102.3,4102.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image15.png,1216,17,2480.3,2480.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image4.png,1215,17,2930.9,2930.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image1.png,1215,17,3678.3,3678.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image3.png,1216,17,5228.0,5228.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image19.png,1215,17,3312.5,3312.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image2.png,1215,17,2927.0,2927.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image22.png,1215,17,2463.4,2463.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image26.png,1215,17,2765.5,2765.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image28.png,1215,17,2420.9,2420.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image12.png,1216,17,2280.9,2280.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image8.png,1215,17,2704.3,2704.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image27.png,1215,17,2549.1,2549.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image18.png,1215,17,2650.9,2650.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image17.png,1215,17,2869.1,2869.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image6.png,1215,17,3334.3,3334.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image11.png,1165,17,2763.1,2763.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image10.png,1215,17,2791.5,2791.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image30.png,1215,17,2954.5,2954.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Select_Animal,image13.png,1215,17,2737.9,2737.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path30.png,581,33,2762.3,2762.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path5.png,581,33,1801.4,1801.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path3.png,581,32,2057.0,2057.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path6.png,581,33,2782.2,2782.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path23.png,581,32,2105.5,2105.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path4.png,581,33,2288.2,2288.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path1.png,581,33,2146.2,2146.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path17.png,581,32,1836.4,1836.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path16.png,581,32,3456.8,3456.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path8.png,581,32,2575.2,2575.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path32.png,581,32,2462.8,2462.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path18.png,581,32,4189.4,4189.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path15.png,581,32,1932.3,1932.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path22.png,581,33,6448.2,6448.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path19.png,581,32,5729.9,5729.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path25.png,581,33,1635.6,1635.6
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path2.png,581,32,2449.8,2449.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path31.png,581,32,2059.4,2059.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path14.png,581,32,2027.3,2027.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Place_Dot,path9.png,581,33,2320.5,2320.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image4.jpg,379,71,3019.8,3019.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image1.jpg,9115,106,9157.2,9157.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image9.jpg,535,36,1764.0,1764.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image10.jpg,448,56,5936.4,5936.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image6.jpg,429,86,4026.2,4026.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image3.jpg,424,49,1704.0,1704.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image7.jpg,568,19,3476.5,3476.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image8.jpg,680,76,8086.4,8086.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image5.jpg,361,17,1043.0,1043.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Patch_Select,image2.jpg,448,106,2646.0,2646.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path4.JPG,24192,18,10212.8,10212.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path2.JPG,24192,18,12272.8,12272.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path7.JPG,24192,18,13438.3,13438.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path3.JPG,24192,18,11020.7,11020.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path6.JPG,24192,18,10944.4,10944.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path10.JPG,24192,18,11374.0,11374.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path5.JPG,24192,18,13871.1,13871.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path1.JPG,24192,18,13926.5,13926.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path9.JPG,24192,18,8167.9,8167.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Path_Finder,path8.JPG,24192,18,9943.2,9943.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice6.png,1285,19,3259.9,3259.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice9.png,1797,18,3488.4,3488.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice10.png,1797,20,3212.4,3212.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice2.png,1797,20,3410.7,3410.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice4.png,1797,20,2901.8,2901.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice5.png,1797,17,5462.8,5462.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice8.png,1797,20,2705.4,2705.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice1.png,1797,19,2847.9,2847.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice3.png,1797,19,2954.1,2954.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice7.png,1285,19,2543.6,2543.6
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Dice_Count,dice12.png,1797,19,3562.7,3562.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image8.png,437,33,5876.3,5876.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image4.png,597,33,2271.6,2271.6
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image10.png,436,31,5467.1,5467.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image2.png,613,33,2282.9,2282.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image5.png,597,32,2090.3,2090.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image9.png,437,31,1727.2,1727.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image7.png,1202,33,2988.1,2988.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image6.png,597,33,2080.4,2080.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image1.png,1137,33,4746.5,4746.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Misleading_Click,image3.png,588,33,2245.0,2245.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image15.png,373,33,6236.5,6236.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image2.png,373,32,3895.3,3895.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image14.png,373,32,2139.5,2139.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image9.png,373,33,2000.5,2000.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image22.png,373,32,2520.4,2520.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image29.png,373,33,2302.7,2302.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image6.png,373,32,2393.2,2393.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image27.png,373,33,1982.7,1982.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image5.png,373,32,1789.3,1789.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image10.png,373,33,2288.4,2288.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image26.png,373,33,2419.7,2419.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image30.png,373,32,4906.3,4906.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image25.png,373,33,1962.2,1962.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image13.png,373,33,2162.2,2162.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image12.png,373,32,2827.4,2827.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image8.png,373,32,1485.2,1485.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image24.png,373,32,2083.8,2083.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image21.png,373,33,6305.4,6305.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image19.png,373,32,1970.1,1970.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Pick_Area,image16.png,373,33,2148.7,2148.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle8.json,1376,18,2003.8,2003.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle1.json,1259,18,1838.3,1838.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle14.json,5700,18,7059.3,7059.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle12.json,2317,18,2848.7,2848.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle18.json,5692,18,7254.4,7254.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle4.json,1661,18,2289.7,2289.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle10.json,1376,18,1831.8,1831.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle9.json,1376,19,3484.1,3484.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle13.json,5116,18,9780.7,9780.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle11.json,2284,18,2940.4,2940.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle7.json,1661,18,2259.8,2259.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle3.json,1946,18,3724.5,3724.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle20.json,5692,18,5660.2,5660.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle19.json,5680,18,5160.7,5160.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle5.json,1661,18,4496.8,4496.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle17.json,5700,18,6753.9,6753.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle15.json,5700,18,7061.4,7061.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle6.json,1661,18,2319.0,2319.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle16.json,5680,18,5760.4,5760.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Connect_Icon,puzzle2.json,1376,19,2294.8,2294.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual12.png,1239,36,2365.4,2365.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual4.png,1239,34,2608.0,2608.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual23.png,1239,37,4027.8,4027.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual28.png,1239,36,2798.2,2798.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual26.png,1239,36,3162.7,3162.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual6.png,1239,36,2901.4,2901.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual19.png,1239,37,3999.6,3999.6
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual9.png,1239,37,6483.9,6483.9
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual5.png,1239,37,3294.7,3294.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual11.png,1239,37,2827.7,2827.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual15.png,1239,33,2398.3,2398.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual3.png,1239,33,2917.4,2917.4
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual24.png,1239,37,4218.1,4218.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual13.png,1239,37,2789.3,2789.3
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual7.png,1239,36,2779.1,2779.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual1.png,1239,37,2444.0,2444.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual22.png,1239,37,2950.5,2950.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual17.png,1239,36,2642.8,2642.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual20.png,1239,36,3427.8,3427.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Unusual_Detection,unusual29.png,1239,36,2388.0,2388.0
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image8.png,495,156,9416.1,9416.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image10.png,491,184,6367.5,6367.5
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image5.png,481,87,3031.6,3031.6
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image7.png,495,87,4772.7,4772.7
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image1.png,489,87,4585.8,4585.8
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image4.png,479,94,8938.2,8938.2
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image3.png,491,2048,54870.1,54870.1
fireworks,accounts/fireworks/models/qwen3-vl-235b-a22b-instruct,Click_Order,image6.png,481,88,3033.2,3033.2
