kind,provider,model,type,puzzle_id,attempt_idx,cumulative_ms,pass1,notes
summary,openai,gpt-5.1,Path_Finder,path10.JPG,1,5653.1,1,
summary,openai,gpt-5.1,Dart_Count,dart_puzzle_7.json,7,156118.5,1,
summary,openai,gpt-5.1,Click_Order,image7.png,7,17310.4,1,
summary,openai,gpt-5.1,Unusual_Detection,unusual16.png,1,3348.2,1,
summary,openai,gpt-5.1,Image_Recognition,images14,2,8134.4,1,
summary,openai,gpt-5.1,Misleading_Click,image1.png,1,6380.8,1,
summary,openai,gpt-5.1,Coordinates,,10,75701.4,0,
summary,openai,gpt-5.1,Object_Match,example7.png,3,40880.7,1,
summary,openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_3.json,7,35572.6,1,
summary,openai,gpt-5.1,Geometry_Click,geetest_000003.jpg,1,1916.2,1,
summary,openai,gpt-5.1,Bingo,bingo8.png,4,21700.5,1,
summary,openai,gpt-5.1,Place_Dot,path10.png,8,21183.7,1,
summary,openai,gpt-5.1,Image_Matching,ground_image6.png,1,15522.7,1,
summary,openai,gpt-5.1,Dice_Count,dice7.png,2,8750.2,1,
summary,openai,gpt-5.1,Patch_Select,,10,25679.2,0,
summary,openai,gpt-5.1,Connect_Icon,puzzle14.json,2,23574.1,1,
summary,openai,gpt-5.1,Select_Animal,image6.png,1,3678.0,1,
summary,openai,gpt-5.1,Pick_Area,image4.png,6,14648.0,1,
