provider,model,type,puzzle_id,tokens_in,tokens_out,ttft_ms,e2e_ms
openai,gpt-5,Place_Dot,path27.png,2229,1623,40963.2,40966.8
openai,gpt-5,Place_Dot,path17.png,2229,1175,34710.2,34712.2
openai,gpt-5,Place_Dot,path6.png,2229,1175,36550.6,36553.8
openai,gpt-5,Place_Dot,path3.png,2229,1495,40208.1,40212.5
openai,gpt-5,Place_Dot,path5.png,2229,855,21822.3,21826.3
openai,gpt-5,Place_Dot,path21.png,2229,1111,31956.2,31960.4
openai,gpt-5,Place_Dot,path4.png,2229,1495,34041.9,34045.7
openai,gpt-5,Place_Dot,path24.png,2229,1623,39230.9,39235.1
openai,gpt-5,Place_Dot,path28.png,2229,1111,31573.9,31578.2
openai,gpt-5,Place_Dot,path30.png,2229,2327,76344.9,76348.1
openai,gpt-5,Click_Order,image6.png,2655,1201,36133.3,36138.4
openai,gpt-5,Click_Order,image5.png,2655,1073,30916.9,30920.0
openai,gpt-5,Click_Order,image9.png,2655,1393,38743.1,38746.8
openai,gpt-5,Click_Order,image7.png,2655,1073,26626.4,26630.0
openai,gpt-5,Click_Order,image10.png,2655,1585,37491.1,37494.9
openai,gpt-5,Click_Order,image3.png,2655,945,22030.9,22035.1
openai,gpt-5,Click_Order,image4.png,2655,1009,24017.5,24021.7
openai,gpt-5,Click_Order,image8.png,2655,1393,34880.1,34883.7
openai,gpt-5,Rotation_Match,puzzle_polarbear_direction_2.json,4303,1168,29332.2,29350.0
openai,gpt-5,Rotation_Match,puzzle_gold_direction_8.json,4303,1936,61501.7,61517.0
openai,gpt-5,Rotation_Match,puzzle_sad_cat_direction_4.json,4023,464,15131.1,15142.2
openai,gpt-5,Rotation_Match,puzzle_cat_direction_8.json,4303,1168,31953.9,31957.9
openai,gpt-5,Rotation_Match,puzzle_sad_cat_direction_6.json,4303,1488,37423.3,37430.9
openai,gpt-5,Rotation_Match,puzzle_sad_cat_direction_2.json,4023,1360,35258.7,35260.3
openai,gpt-5,Rotation_Match,puzzle_cat_direction_3.json,4023,3216,77200.7,77207.1
openai,gpt-5,Rotation_Match,puzzle_panda_direction_3.json,4023,2256,52609.2,52622.3
openai,gpt-5,Rotation_Match,puzzle_panda_direction_2.json,4023,2064,66839.9,66842.5
openai,gpt-5,Rotation_Match,puzzle_hungry_cat_direction_2.json,3743,1872,49294.1,49297.3
openai,gpt-5,Patch_Select,image10.jpg,1608,592,14720.3,14726.9
openai,gpt-5,Patch_Select,image9.jpg,2028,400,10542.9,10545.6
openai,gpt-5,Patch_Select,image5.jpg,1609,208,7887.8,7890.0
openai,gpt-5,Patch_Select,image3.jpg,1609,272,8711.0,8712.9
openai,gpt-5,Patch_Select,image6.jpg,1614,272,8607.3,8609.7
openai,gpt-5,Patch_Select,image7.jpg,2028,923,21047.2,21050.1
openai,gpt-5,Patch_Select,image8.jpg,2029,1623,33105.2,33108.2
openai,gpt-5,Patch_Select,image4.jpg,1608,144,7516.8,7518.9
openai,gpt-5,Pick_Area,image19.png,1750,1239,25262.5,25274.7
openai,gpt-5,Pick_Area,image21.png,1750,2199,41040.9,41045.9
openai,gpt-5,Pick_Area,image4.png,1750,1751,35086.9,35091.6
openai,gpt-5,Pick_Area,image11.png,1750,1943,35296.0,35300.8
openai,gpt-5,Pick_Area,image20.png,1750,2135,38326.5,38332.0
openai,gpt-5,Pick_Area,image5.png,1750,1687,31746.7,31749.9
openai,gpt-5,Pick_Area,image23.png,1750,2711,51591.6,51595.7
openai,gpt-5,Pick_Area,image12.png,1750,1943,40311.8,40315.8
openai,gpt-5,Pick_Area,image18.png,1750,2199,40100.6,40104.8
openai,gpt-5,Pick_Area,image14.png,1750,2647,48124.2,48128.4
openai,gpt-5,Dice_Count,dice9.png,3014,5200,90656.8,90679.4
openai,gpt-5,Dice_Count,dice12.png,3014,3664,74757.6,74766.4
openai,gpt-5,Dice_Count,dice5.png,3014,6096,131409.8,131422.2
openai,gpt-5,Dice_Count,dice3.png,3014,4496,82387.3,82398.2
openai,gpt-5,Dice_Count,dice10.png,3014,4496,76024.7,76035.5
openai,gpt-5,Dice_Count,dice4.png,3014,5456,126993.9,127007.1
openai,gpt-5,Dice_Count,dice8.png,3014,5136,93885.8,93897.2
openai,gpt-5,Dice_Count,dice6.png,2734,4560,84387.8,84394.3
openai,gpt-5,Dice_Count,dice7.png,2734,3856,69344.1,69354.7
